"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AC139887.5",0.046612448391768,0.0613053221310348,3.2107913551839,0.00161842273525666,0.00846150901721984,-3.00654199932349
"AL512655.1",0.046527185336639,0.0342995526715446,2.86528683719452,0.00476258371026609,0.0212647284307623,-4.00084434725377
"LINC00635",0.0461549554647093,0.0342589354797893,2.82810098039977,0.00532029770566183,0.0232868202921916,-4.10184839900369
"AC008948.1",0.0460842698467286,0.030934166136367,2.82965988208651,0.00529576943594162,0.0232192284591413,-4.09763791934698
"AL139220.2",0.0456384961319976,0.0931290690150533,2.82960680816198,0.00529660281934328,0.0232192284591413,-4.09778130243896
"LINC02703",0.0454600282691671,0.0550134993419263,2.68742598017666,0.00801070536846587,0.0328164833852077,-4.47317005964259
"AC008734.2",0.0450032400688804,0.0342480509267657,3.00725405809745,0.00309026494645566,0.0146833247469925,-3.60440638187262
"AC012506.4",0.0449373387912177,0.0371015615575145,2.76141950777132,0.00647165235142953,0.0275616637227127,-4.27999256962376
"AC006517.2",0.0448771082544997,0.0325363228629842,4.28990604642764,3.18263376430178e-05,0.000270812616980558,0.709170225157639
"AC244517.12",0.0447139089737646,0.0318435410923748,2.82526179346694,0.00536523679663842,0.0234652662178368,-4.1095114762324
"AC011451.4",0.0446850902681238,0.0435533117624804,3.9300262699218,0.000129102516735405,0.000937826457627845,-0.627745422567965
"AC004834.1",0.0444358743209241,0.0709479368133974,3.72641021768789,0.000274202207747496,0.00179630643042035,-1.3419333271409
"AC127496.1",0.0443818945090949,0.0856547335158566,2.52266869575964,0.0126855762205264,0.0479959430199298,-4.88611187705341
"AC092636.1",0.044372486523747,0.0394152643564733,4.66757010334806,6.68795358447331e-06,6.81388246307051e-05,2.2096083060104
"FAM242C",0.0443437971532919,0.0439371734226141,3.44550515420454,0.000738782809049088,0.00429777097945097,-2.27496972831851
"AC138646.1",0.0443363402552503,0.0372883018449529,2.82083680271124,0.00543596681138072,0.0237193051718091,-4.12144089969141
"C10orf71-AS1",0.0440725811552755,0.0295842171460498,2.73457967925625,0.00699580944476255,0.0294081810374705,-4.35061339877983
"AC027584.1",0.0440547411945653,0.0319586422113954,2.71621016697919,0.00737643666277771,0.0307327255037051,-4.39858719539715
"AC069222.1",0.0439789169705262,0.0755472196758551,3.73940072782518,0.00026156217230247,0.00172487991906652,-1.29730591034143
"AC106820.2",0.0439239924281377,0.0598067820893406,3.15754844023307,0.00192256110128397,0.00978790003373823,-3.16625324027983
"AC026408.1",0.0438483593051777,0.0514632988647041,2.54135515846657,0.0120540388092129,0.0460920233696788,-4.840479100836
"AC113382.1",0.0436032136467571,0.0327139690218699,3.74363955697644,0.000257558506902873,0.00170380200373601,-1.28271600516112
"AC007279.1",0.0435804636153651,0.0514353810907549,3.79465120478321,0.000213711670451626,0.001448947960066,-1.10606288386149
"AC007785.3",0.0435321604796465,0.0885665629907778,2.85526170804361,0.00490742758495648,0.0217732437553838,-4.0281911383479
"AC095060.1",0.0434608948887106,0.051354828076606,2.53925625081168,0.01212354357157,0.0462530310904506,-4.84562009460262
"AC011306.1",0.0434267517986755,0.0339572951063244,2.60895200771394,0.00999795806767881,0.0395931334971977,-4.67283008067887
"LINC02641",0.0432226000510825,0.0375048157768689,2.60694065174016,0.0100542699326451,0.0397881352561919,-4.67787660211735
"AC116317.1",0.0430260574049795,0.0586777761099807,2.5799651855208,0.0108375557823068,0.0423223725923905,-4.74521452736418
"SAMMSON",0.0429532679496013,0.0438487721490899,3.22092717151893,0.00156585079355314,0.00822997917084809,-2.97587392653396
"AL139289.2",0.042631087874308,0.0286168992864531,4.07597677208479,7.39324264191788e-05,0.000569401105295884,-0.0968370495385296
"LINC02003",0.0425383511933148,0.0329345824483382,3.13097898454167,0.00209341896142879,0.0104963168716486,-3.24507828134336
"AC012462.1",0.0424159922977112,0.0395305661218855,2.89848201677152,0.00431042558193973,0.0195299529453318,-3.90968107334372
"AC023593.1",0.0421620891113844,0.0325302738033281,4.7124144846941,5.52436836869123e-06,5.72864783785291e-05,2.39411151429305
"AP000553.9",0.041886813189627,0.0507210778696018,2.56774881889904,0.0112099742927992,0.0434850151679768,-4.77549894689371
"AL139130.1",0.0418728598596533,0.0422531938300776,3.02603114514676,0.00291507874949359,0.0139887320775869,-3.55069691605336
"ZNF8-ERVK3-1",0.0417748991649977,0.120460967530019,2.68170416677739,0.00814251548344017,0.0332757071874696,-4.48790991310842
"FGF12-AS2",0.0417400348205086,0.0312967997869211,3.15624744177843,0.00193061677021849,0.00981706997434594,-3.17012657170731
"AL135999.1",0.0416668126348826,0.111682243156506,2.84315627762372,0.00508768637285985,0.0224784928936457,-4.0610979880084
"MYHAS",0.0416464698611426,0.0388880235639657,2.51418411475663,0.0129819674802763,0.048876354817579,-4.90672928108329
"AL031123.1",0.0416227707735873,0.0563776025699827,3.02004007211828,0.00296995394139385,0.0142036154217028,-3.56786578523943
"AC106038.1",0.041411777164667,0.0524128677808191,3.60726661151005,0.000420373346424681,0.00261872429311493,-1.74518573412467
"C10orf55",0.0413796990021863,0.0548666424884164,3.50933479963556,0.000592745297027568,0.00354722655243509,-2.0683829330976
"MIR137HG",0.0413751359485143,0.0314165623581449,2.69508667443533,0.00783725185910635,0.0322075184725982,-4.45339081986339
"AP000721.2",0.0412799446945931,0.0438078634461186,2.62891453591927,0.00945426053944743,0.0377410324963234,-4.62255119902065
"AC009902.3",0.0412196175250317,0.0559840220966462,3.06928084103467,0.00254583174706927,0.0124395749794569,-3.42586232930626
"AL034422.1",0.0412021227544744,0.0353984490607365,4.06792519818935,7.62700097448081e-05,0.000585800866474909,-0.126531328692675
"AC004039.1",0.0409699552435191,0.0683616893214102,3.19470743316323,0.001705224074301,0.00883325953432018,-3.0550343220553
"PEF1-AS1",0.0405368324662692,0.0803752875444183,2.61364248173071,0.00986773978817126,0.039169335317166,-4.66104780319978
"AC008063.1",0.0402864214941965,0.0287806364283766,3.45492186584319,0.000715297329773663,0.00418276741296813,-2.24469538334993
"AC104564.2",0.0402004272252972,0.0341466889671559,2.74117138630512,0.00686362884328593,0.0289367345892222,-4.33332713240927
"AC090241.3",0.0401389502423986,0.0712666941976677,3.38415750976198,0.000910400833442718,0.00515578224427372,-2.47046893515674
