"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AL354872.1",-2.51544227034306,3.74409775377323,-12.3665569117917,1.09806371454393e-24,2.19118316070922e-22,45.0192326091371
"AC104809.1",-2.55250912276056,1.51257560260459,-11.1429538361231,2.08583024611622e-21,2.62783479215926e-19,37.4883487239225
"AC007535.1",-2.55894230028959,1.45578348504423,-17.1043997646346,4.0679517323202e-37,2.98587657152303e-34,73.6260409607242
"LINC00844",-2.58712485418754,1.57075069588859,-18.1956052435101,7.51031560871434e-40,7.45818518272444e-37,79.9220537115106
"FAM99B",-2.58940256343176,2.07235743563387,-13.1577368297266,8.35456995946741e-27,2.07414485376072e-24,49.8901051597161
"AC020978.4",-2.68694618014295,2.28013351608892,-16.6642489289176,5.35330982412509e-36,3.47594524811076e-33,71.0485676436525
"AC010280.2",-2.70041948115763,1.81378906416295,-16.6207364692177,6.91456740789372e-36,4.32339729555784e-33,70.7926319385092
"AC010872.2",-2.71667114055515,2.03038115617571,-17.5213319074502,3.61255666406547e-38,3.38817675570851e-35,76.0477980515819
"AL161668.4",-2.9292711169881,2.18134154190847,-20.5300110631104,1.72673685057646e-45,2.65007013740289e-42,92.9088660072307
"LINC01018",-3.31354897753065,2.97490590397765,-12.082393971597,6.34848451153023e-24,1.17774852223795e-21,43.2680575961359
"AC008549.1",-3.36227559739557,3.17213191893397,-14.727833547783,5.66756743058963e-31,2.22511333402824e-28,59.4804309665887
"FAM99A",-3.52639905976049,3.16856954109803,-11.8118764268306,3.37353318530014e-23,5.52931914895505e-21,41.6014748328044
"AL360013.3",-4.13217683847086,2.45225359181945,-16.5947647334913,8.05648739160742e-36,4.85748643375416e-33,70.6397735482477
"LINC01093",-4.27636017738031,2.5778323666983,-21.9264268669009,1.01437477010355e-48,2.44638212412688e-45,100.350152403228
