"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AL365181.3",1.76802270564876,2.13046446002827,7.20848254518764,4.30218498442465e-12,1.75433543253761e-10,15.9912647118722
"LINC01419",1.75262759436784,1.48007220764549,5.33518531671945,1.83956133061019e-07,3.09625866234908e-06,5.55887717970586
"AC010719.1",1.518035859928,2.05785850237734,11.8671980850822,4.71141390712859e-27,1.22366291661761e-24,50.1297174999954
"AL136372.2",1.47882990003137,1.42375289989918,5.04696663907585,7.64560445596077e-07,1.12042616688828e-05,4.17884960559545
"ST8SIA6-AS1",1.43772582546044,1.34067211982395,6.99204328169448,1.65597763802711e-11,6.10397696182832e-10,14.6657251341272
"AL590666.2",1.32959177223065,1.63591741086908,7.0471387122044,1.17817715086064e-11,4.46965992378187e-10,15.0003749244088
"AL162413.1",1.30364982573167,1.1456645117815,4.85249524199371,1.93029755794242e-06,2.6007408917146e-05,3.28448866049813
"AL096854.1",1.25939200454933,1.50475029461807,6.35443353054534,7.41531871020696e-10,2.0536237721326e-08,10.9357670414154
"GAS5",1.24872958782639,5.10912162588279,8.19756857086842,6.46283353009019e-15,4.24535236011606e-13,22.4015385846835
"LINC02365",1.20841650404213,1.31270132444674,5.00119083466277,9.53241362968633e-07,1.3777928672634e-05,3.96563340776744
"LINC00853",1.18408471550435,2.00677689936649,7.66926351747347,2.227210999582e-13,1.12238137596846e-11,18.9078322304221
"AP006621.2",1.16113552970594,1.85039386751542,7.61447114740906,3.18733522717892e-13,1.54622394555272e-11,18.5544643900731
"AC092535.5",1.15881275688051,3.19019372764455,6.01836843272244,4.94464909304013e-09,1.13882081839977e-07,9.0802777028244
"SNHG1",1.10454523274617,3.30122707185117,9.29782547980882,2.59412834808923e-18,2.68675305352408e-16,30.1399563117531
"AL162582.1",1.07729175033569,1.23523805793131,4.78647627319907,2.62621820799517e-06,3.42626088001349e-05,2.98772977246433
"AL590550.1",1.07418178429133,1.06972298727898,4.63718057579288,5.20398463608485e-06,6.27974757872655e-05,2.32961724965382
"C2CD4D-AS1",1.06255573298864,3.16405575275227,6.40436271844574,5.55805561951634e-10,1.56124950031073e-08,11.2180971359678
"SNHG25",1.04731551196864,2.49538216701876,7.33009700330747,1.99281068735763e-12,8.73834546077184e-11,16.7487250276223
"AC110285.2",1.04438328659845,1.73106259127827,7.6596187687078,2.37254857766895e-13,1.19206443714902e-11,18.845505595858
"AC011445.1",1.01136031504256,1.96570921067963,6.58985527886131,1.87754810406848e-10,5.82661159795663e-09,12.2817374427526
"AC015922.2",-1.00067048795313,1.15358792702581,-8.12236129298133,1.07944752457408e-14,6.85083951498483e-13,21.8948525077964
"AC103740.1",-1.00251059577543,1.02384787632778,-10.1319724531559,4.85002971181648e-21,6.29832319960661e-19,36.3702245647226
"AC110995.1",-1.00343966279601,0.802821404246395,-13.9808910914085,8.20038132558878e-35,4.94424419780678e-32,67.9230243726472
"AC004160.2",-1.01074733636321,0.567310944916217,-12.0115124338546,1.4329065486138e-27,3.83973465931718e-25,51.314075193698
"AC036176.1",-1.01694878848987,3.19319576039497,-8.21909161441479,5.57742761510034e-15,3.7364338491319e-13,22.5470983006675
"AC092275.1",-1.01757172958306,1.82711268005868,-4.85734021076465,1.88692637647048e-06,2.54986558255093e-05,3.30640477516122
"AC015922.3",-1.01861829893523,1.44036929898786,-9.72686854945894,1.06116215759063e-19,1.24406524614202e-17,33.3087922389585
"AC004160.1",-1.01992236059958,0.492231630121268,-15.720944765285,2.07676110729749e-41,2.06234594196449e-38,83.0688767858091
"AC116025.1",-1.02188930578159,1.31824876106734,-7.10620406769823,8.1625834138548e-12,3.18246496980824e-10,15.361249723388
"AC091729.2",-1.03004982966882,0.52797826039796,-5.92052289625208,8.46839896395974e-09,1.86880406940612e-07,8.55499982682085
"LINC02499",-1.03866409330169,3.38842075687666,-4.70579875366348,3.80851094509449e-06,4.76614394181506e-05,2.62984888910034
"AL354707.1",-1.04758766333969,1.81415151248857,-7.24358747531067,3.44827021591719e-12,1.41984628744181e-10,16.208986958321
"AC004540.2",-1.04869580648292,0.505966066461949,-13.315312630991,2.48653345189226e-32,1.04944144337113e-29,62.2287183634899
"AL133419.1",-1.06016055117016,0.875980618634231,-6.25150626510812,1.33655302132563e-09,3.50913600895454e-08,10.3591408152954
"LINC00261",-1.06458142215017,6.05709871146142,-6.49400733164606,3.29872766414275e-10,9.77002112737859e-09,11.7292456203011
"LINC00659",-1.06510516217913,1.81505736519239,-5.50629704565079,7.67150125267887e-08,1.4016264518152e-06,6.40833855397484
"AP001783.1",-1.06551897310046,3.21846855033002,-2.93710576010257,0.00355984544399378,0.0187804096204697,-3.82642438868718
"LINC01863",-1.07315271899948,0.492950957839111,-13.1489294098559,1.02605251918889e-31,4.12424253070164e-29,60.8167222230504
"AC018755.4",-1.08539737770776,0.871521733492184,-8.97393184119491,2.74992411375768e-17,2.49592574669125e-15,27.8014558916677
"AC018467.1",-1.09159150407988,1.69941701203078,-7.32843603908951,2.0139844292732e-12,8.80831221113735e-11,16.7383195099948
"AC105105.2",-1.09423745070141,2.82468808808545,-6.73067055243136,8.11673856699273e-11,2.67108733894681e-09,13.1044783825246
"U91319.1",-1.0947143142095,1.10157340360108,-7.85175792137608,6.66940562820133e-14,3.72756392943341e-12,20.0971507213776
"KLHL6-AS1",-1.09726191637254,1.34889990939325,-6.6068652064251,1.6978020387795e-10,5.34744291393201e-09,12.3804265213344
"TMEM220-AS1",-1.10046717139906,1.72546330354133,-11.2062251497927,1.02408985601986e-24,2.05817677968183e-22,44.7773696607823
