"cohort","C.index","Lower","Upper"
"TCGA",0.640862217129762,0.588237096385875,0.69348733787365
"GSE14520",0.612026597282452,0.549273135859456,0.674780058705447
"GSE116174",0.619122257053291,0.510657381318908,0.727587132787675
"ICGC",0.630993023601009,0.550883106244297,0.711102940957721
