"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Change"
"MAOA",-0.65175662909089,5.99878534880055,-4.54121132364169,7.33833211373677e-06,2.16742743404678e-05,2.60395322146731,"DOWN"
"SLC25A18",-0.995689418801603,4.06657838347383,-4.5398419317952,7.38387700044636e-06,2.17935780088179e-05,2.5980358475619,"DOWN"
"SAT2",-0.561541084463992,7.49320123424825,-4.53841278381893,7.43169857804227e-06,2.19308984372259e-05,2.59186197994976,"DOWN"
"CD38",-0.60454131531542,1.18202942912005,-4.53771332781378,7.45521169135306e-06,2.19964493512441e-05,2.58884099660347,"DOWN"
"SLC22A7",-1.63549464617208,6.54817625248789,-4.53507748966697,7.54446185837774e-06,2.22520200637284e-05,2.57746047500551,"DOWN"
"PRTFDC1",0.519361330039599,1.61310577519974,4.5324771672633,7.63351361511106e-06,2.25029065995286e-05,2.56623916278203,"UP"
"IGFBP6",-0.686850936081223,2.58429571938761,-4.53014767369569,7.71414626559515e-06,2.27208126997625e-05,2.55619152152213,"DOWN"
"TCIRG1",0.557535914341001,5.26521035746354,4.52682069783143,7.83072404312595e-06,2.30521366620971e-05,2.54184962060713,"UP"
"ARMCX3",-0.95149543292196,3.36154757065554,-4.52412241521007,7.92651189275386e-06,2.3317890774911e-05,2.53022489373853,"DOWN"
"MAOB",-0.683861408764375,7.56681722493402,-4.52387959296015,7.93518689864392e-06,2.33393529483667e-05,2.52917907610626,"DOWN"
"DHDH",0.52610653182535,0.873243326848038,4.52246429148557,7.98593115700024e-06,2.34845222640947e-05,2.52308448823215,"UP"
"AGXT",-1.36241911623105,8.9312118147941,-4.52081840489114,8.04533439262018e-06,2.36551004791531e-05,2.5159991245349,"DOWN"
"KANK1",-0.556486970302099,4.2271773649555,-4.51410341755304,8.29211368929064e-06,2.43299559106098e-05,2.48711604455697,"DOWN"
"FAM133A",0.912750417228069,0.895997398568772,4.51293731937924,8.33570183462316e-06,2.44469385103018e-05,2.4821042873992,"UP"
"CCDC106",-0.563190351308145,3.82092922516516,-4.51292087992797,8.33631790109575e-06,2.44469385103018e-05,2.48203364089725,"DOWN"
"CEBPD",-0.72490151191544,7.50798289828357,-4.51079070814263,8.41651640289046e-06,2.46607574118285e-05,2.47288146498565,"DOWN"
"PGF",0.54570218276119,1.9274672326147,4.51022779149892,8.43783287559151e-06,2.4714656411266e-05,2.47046357610218,"UP"
"CLIC2",-0.554652649305596,2.55554817092307,-4.51014928504356,8.44080986200618e-06,2.47190972092431e-05,2.4701263900275,"DOWN"
"MEP1A",1.18621050752338,1.14984999988507,4.50969402826729,8.45809319531357e-06,2.47654256718984e-05,2.46817116211565,"UP"
"ANKRD24",-0.529806368502997,1.8977240021074,-4.50873952052696,8.49444031560674e-06,2.48632459056187e-05,2.46407234162872,"DOWN"
"FAM107A",-0.582372148046898,1.95406355495917,-4.50838286945164,8.50805979918132e-06,2.48988031584135e-05,2.46254102235416,"DOWN"
"PPP1R14D",0.796181693260587,0.859480903771177,4.50744938891695,8.54380597397488e-06,2.49947684795347e-05,2.45853354429961,"UP"
"GLDN",0.699796694054703,0.78842242739686,4.50449004590209,8.6580840906207e-06,2.53072103813081e-05,2.44583391102528,"UP"
"SPATA21",0.584278237965229,0.73131774327721,4.50347111694675,8.69776929167141e-06,2.54100404323847e-05,2.44146306059664,"UP"
"RAB37",-0.630314016279034,2.80718918960807,-4.50172889448344,8.76602980022382e-06,2.56050388830636e-05,2.43399160972948,"DOWN"
"GABRB3",-0.587811015801758,0.537687094384387,-4.49743056890061,8.93664321729225e-06,2.6049429781189e-05,2.41556962485493,"DOWN"
"GZMK",-0.528094986635513,0.956741073550381,-4.49656974965943,8.9711923458573e-06,2.61366297665722e-05,2.41188219940588,"DOWN"
"CCL20",1.54242770298029,4.33885031305192,4.49433134897906,9.06163155404528e-06,2.63819455481762e-05,2.40229673028174,"UP"
"ALDH1L1",-1.40792636208281,5.49112665189213,-4.49426693104686,9.06424716224437e-06,2.63850208553822e-05,2.40202093843025,"DOWN"
"COL5A3",0.994319076035972,3.76010177027722,4.49352618746433,9.09437618859523e-06,2.6468169846443e-05,2.39884985795296,"UP"
