"","RS","T cells","CD8 T cells","Cytotoxic lymphocytes","B lineage","NK cells","Monocytic lineage","Myeloid dendritic cells","Neutrophils","Endothelial cells","Fibroblasts"
"TCGA-DD-A4NF",-0.193323002919354,0.334088870468487,0.19206788447965,0.843256971523268,0.0729279487425843,0.080198259100825,1.90860847253208,1.11796109783109,1.83569304573645,2.91847137814088,2.66956583929634
"TCGA-DD-AADG",-0.03318286729254,0.513541063067103,0.289716448486299,0.837689715294244,0.193468970645831,0.140334430358377,1.61617136798988,0.454357773374922,1.67340998097556,2.52038757840052,3.09096285765092
"TCGA-DD-A3A5",0.0485330252554897,0.698149575364674,0.687777377396305,1.12426313959662,0.0906507616174918,0.176487687217832,1.86929011208623,0.522721756431387,1.90622488559867,2.47507035092987,4.02721962358517
"TCGA-DD-AAW1",0.0495252407926297,0.324994387311316,0.0662614422687213,0.462641619031106,0.139976761596351,0.235689650767373,1.75398983293318,0.647504109672727,1.5980141794922,2.4090070896692,2.58280678625134
"TCGA-DD-A11B",0.0568716453045376,0.633860688919933,0.119289768374751,0.684164227480953,0.066450485129683,0.236030842399709,2.39871514985181,0.698825754894414,2.34703630897448,2.29690946113184,3.54826216765339
"TCGA-DD-AAEB",0.0621802549260793,0.461955782700299,0.292899515444873,0.940367074431489,0.042956218694805,0.0775390179436575,1.49251285492245,0.641236054476768,1.20667355592264,2.07029020973647,2.16119278759296
"TCGA-G3-A5SL",0.0967403924258708,0.576773589501592,0.112633416985245,0.820376332540743,0.0821027404833428,0.133190049371881,2.10929083181302,0.969303066503284,1.44320860855635,2.46122907566542,3.49216911019993
"TCGA-DD-A3A8",0.12746088428423,0.334971177453075,0.100035721161844,0.941949334343675,0.1694619185041,0.229356514019927,1.42426649474936,0.578454857417339,1.50510578407852,2.35409896589714,2.0726138289942
"TCGA-G3-AAV2",0.160988615902336,0.351243317955932,0.0469799081444094,0.947676212101689,0.147965225132932,0.195299468729558,1.88547567808278,0.949383439214088,1.48297752121704,2.65468122734838,2.7433973795266
"TCGA-RC-A7SK",0.172153937316399,0.505000111643834,0.373620373245737,0.490466044707764,0.250592345536546,0.045140936975596,1.67389852333353,0.456073167371218,1.85906944706004,2.03033142814462,3.89281801754428
"TCGA-CC-A7IH",0.183333610624137,0.403956429662795,0.18205660901025,0.969103060193482,0.23198868408001,0.243741014248828,1.86488613610437,0.662277468955318,1.71203804616278,2.84234818497583,3.59908798503107
"TCGA-DD-AACV",0.270966242926159,0.680477385829946,0.0436244767470346,0.219803476404163,0.065153112931562,0.0911582278509499,1.78063689058302,1.20306933996834,2.25031559667079,2.01623441880099,2.92524881275585
"TCGA-DD-A4NP",0.273650427753862,0.394133306004337,0.162467867615304,0.93800695364701,0.363458385173974,0.197642120368814,2.1937267433469,0.757046863900423,1.7588405290149,1.9308036715433,3.0787455162624
"TCGA-DD-AAEE",0.289308601211828,0.603586731548829,0.0899048684213355,0.577412427161457,0.199942794723933,0.10952555311866,1.75862452818064,0.923576256156281,1.53510413692256,2.27466392674158,3.55986659275327
"TCGA-G3-A6UC",0.303268124481829,0.460802463020713,0.136847604192881,1.00060405019108,0.0928669637484777,0.233412148149149,1.98191634511975,0.706915181250772,1.87941125467885,2.32012218172416,2.33573262346188
"TCGA-G3-A3CK",0.305845770646313,1.51774865072806,1.48021341162807,1.65154658309798,0.560000906560747,0.410215425366192,2.67778445129541,0.851135445908528,1.88987821095851,2.23347491980714,3.01492597008626
"TCGA-EP-A26S",0.338484671751212,0.595307022283223,0.14522093708563,1.17946697702613,0.111194705501097,0.331038163953906,2.1215525178194,0.810349593442755,1.53517177627981,2.59150669357647,3.91214840252322
"TCGA-ED-A5KG",0.35895946141782,5.2900148467554,4.07303184722977,4.28378033968358,6.28194737651338,1.06709796451465,4.7202869376183,3.05436918815929,2.34461398903391,3.63057035550559,5.89380984073232
"TCGA-DD-A3A4",0.373475082788937,0.0698921502196164,0,0.241452352952585,0.0358522571643923,0.075209442945889,1.59193288934289,0.409929260549685,2.24268549047793,2.22097827029353,2.72003114522024
"TCGA-NI-A8LF",0.383914306511893,0.622179720695563,0.183327706044801,0.84727838001914,0.410521167775693,0.143549298388827,1.63660831464797,0.731076613625542,1.7463934957815,2.97485685741729,4.26260414283918
"TCGA-EP-A12J",0.38830559730561,0.754297019079247,0.313826296390398,1.26933088354583,0.155657091055581,0.297887004031496,2.21559710512134,0.976164419454583,1.78107620082204,2.85088427575881,2.64114167455652
"TCGA-DD-A118",0.389472509451039,0.470705529044368,0.152767519261769,0.851511800996279,0.0694220905615981,0.0963575596807251,2.56103281920596,1.14141865231569,1.91998492202834,2.86708527628825,4.86931682590816
"TCGA-KR-A7K2",0.39138531296885,1.44076201611286,0.112366523072563,0.58890409598741,0.284290952007242,0.161829333723753,1.7626480533734,1.00607670857933,2.0200692053793,2.10632570037888,4.50519300004251
"TCGA-ED-A66Y",0.426824293556105,0.500225046695736,0.110630508096434,0.357800776920322,0.478871912230068,0.135823010084356,1.6907662440691,1.15124942854776,2.2274588458926,2.50692403035295,4.05376127156909
"TCGA-ED-A8O5",0.44114075916814,0.79896548912363,0.280124891975729,1.39863772028254,0.630302001670754,0.209690069707812,2.31653793414654,1.27076074419496,2.12180182677853,3.26756429587376,3.7293854668026
