,RS,HLA-A****,HLA-B****,HLA-C**,HLA-DPA1****,HLA-DPB1****,HLA-DQA1****,HLA-DQB1****,HLA-DQA2****,HLA-DQB2****,HLA-DRA****,HLA-DRB1****,MICA*,MICB****,ICAM1****,ITGB2****,SELP,BTN3A1,BTN3A2*,CD274*,CD276****,PDCD1LG2*,SLAMF7****,VTCN1****,CD28***,CD80****,ICOSLG,CCL5****,CD40LG**,CD70***,CX3CL1,CXCL10,CXCL9,IFNG**,IL10****,IL12A****,IL13,IL1A****,IL1B****,IL4***,TGFB1****,TNF****,TNFSF4*,TNFSF9****,VEGFA****,VEGFB****,ARG1,ENTPD1****,GZMA***,HMGB1,IDO1,PRF1,ADORA2A*,BTLA,CD27**,CD40,CTLA4****,EDNRB****,HAVCR2****,ICOS****,IL2RA****,KIR2DL1,KIR2DL3,LAG3**,PDCD1****,TIGIT***,TLR4,TNFRSF14****,TNFRSF18****,TNFRSF4****,TNFRSF9
TCGA-LG-A9QD,0.570147592,10.40582966,10.69401977,11.00666171,6.837788119,5.595748306,2.781548563,4.152678297,3.737178376,3.391685246,10.30653237,9.95157745,2.234501321,1.00525625,5.061179991,2.438931542,0.372729271,3.400975044,2.841751768,0.808590988,3.531106932,0.581785075,0.931456141,0,0.488515009,0.039559557,0.193708673,4.363086953,0.766043843,0.196858801,2.73061822,6.09979804,3.860982656,0,0.09085343,0.185612862,0,0.031677496,0.739070393,0,2.646946017,0.146133829,0.396269112,0.149909668,3.456740451,3.324220158,9.425772729,1.075327251,3.110947821,4.730911624,1.045862298,1.816804475,0.491288732,0.21549223,0.686253987,4.580645998,0.346871814,2.225799339,1.002090393,0.226631832,0.358733827,0.037593076,0.116763971,1.108691716,0.675725619,0.541415716,0.751892138,3.632535787,0.676628488,1.046281503,0.079019633
TCGA-MI-A75H,0.575272268,10.57182411,11.10209053,10.40582552,6.849735358,6.246786194,4.719824131,6.061575329,0.282973489,1.390722707,9.898742249,9.434600499,2.971515964,2.366280244,3.655649497,4.444017655,0.262072288,4.794758953,4.869160738,1.065089724,4.147029857,0.93319492,2.303371622,0.346417994,0.764346155,0.259061529,0.981341228,5.559705938,1.177981556,0.620117165,4.798480874,8.323686209,9.679672036,0.449217992,0.077379741,0.045862298,0,0.044464067,1.035764654,0.107152199,3.85371626,0.646162657,0.944858446,0.345623464,3.823779926,3.267520817,3.417339465,1.553016378,4.345318305,5.936107872,1.85889607,3.807509488,0.883386213,0.232783534,1.134352387,4.234531977,1.237869601,4.905654157,2.003782113,0.656908183,0.271903706,0.29172142,0.21263159,1.70230292,1.290778251,0.997183998,1.51903861,3.765683251,2.31556623,3.244597882,0.472903624
TCGA-BD-A2L6,0.592768715,10.20452676,9.408515931,9.765165075,4.837246948,4.436128517,2.400455956,3.056791594,2.932004461,1.735868729,7.599604191,6.849520199,2.715146577,2.315595211,2.558537043,3.041698572,0.504671235,2.898169648,3.730357367,0.542109438,4.281290232,0.470094293,1.081748651,0,0.515611539,0.081748651,0.039980598,4.54233235,1.844064215,0.344146748,4.252430798,4.159677619,4.15194809,0.245739032,0.046421211,0.131984509,0.159370847,0.07819992,0.444879056,0,3.117927717,0.720453592,0.773405627,0.06474492,4.173447286,6.23325728,8.877071203,1.354564999,3.924042861,6.092864943,0.579373267,2.655031194,0.901185494,0.234501321,0.422448312,5.279240981,0.47019844,3.611219603,1.277092083,0.345623464,0.402285592,0.031536353,0,0.977316563,0.496717988,0.407189572,1.242572021,5.000220896,1.43839932,2.667642385,0.106616329
TCGA-G3-AAV0,0.593106763,9.245719783,9.17732809,8.838275188,2.836307934,4.469586469,2.480135843,2.368097822,3.405284449,1.96502696,6.827805055,7.151120074,2.245434814,0.471135424,2.554736183,2.482564362,1.97254562,2.905504943,3.251870549,0.581977846,3.921264934,0.505586103,1.039770093,0.028286243,0.151339301,0.02672925,0.174534255,3.920178947,0.439995398,0.258458623,3.645517218,4.449422711,3.490852481,0.069839625,0.04949137,0.167100969,0.222062625,0,0.421371433,0,2.92320624,0.147046143,0.584962501,0.197865391,3.358550989,6.617972825,8.526119296,1.149259365,2.969914861,5.056006855,0.740970722,2.186754085,1.082498227,0.115299644,0.347665656,1.787850334,0.324810603,1.878332985,0.952035304,0.241962182,0.12551886,0.050327554,0,1.797220545,1.081748651,0.469260847,0.95315347,4.804022573,1.155878733,1.127963378,0.28368476
TCGA-DD-AAE4,0.593249331,10.48063865,11.27622801,10.48907263,4.821067287,7.466446038,5.920719661,5.847801528,3.450815347,3.873606522,9.749725653,10.52211883,3.033052919,1.463674765,2.791772404,3.946964741,1.159177062,3.203984166,4.274030513,1.230940776,3.381574097,2.217882109,2.968662186,0.032241931,0.823097147,0.173255383,0.502737941,7.146258084,1.074984885,0.392427338,3.073288977,6.896698103,5.754369107,0.97019104,0.331475926,0.04949137,0.033792989,0,0.240741731,0.115432826,3.770099587,0.217727042,1.29172142,0.586692697,2.7834357,5.736063628,9.14981976,1.969049157,5.709249273,5.169764693,1.630358872,3.471681717,0.681044399,0.64874153,1.516267344,5.138703904,1.559491813,3.162790092,2.678725478,1.027932529,0.711935357,0,0.118758389,2.991499171,1.756340152,1.209390977,1.323427718,3.749244627,1.55345881,2.154421187,0.48326116
TCGA-QA-A7B7,0.595893424,10.46625718,10.72264883,10.03459582,2.873065086,4.02100882,2.679851634,2.24902051,1.607531537,1.081475982,7.153349356,7.074352365,2.8899602,2.748933467,5.225471606,2.836570515,3.569588305,5.081395023,5.091509437,1.516317779,4.83362383,1.016353684,0.881429697,0.021337583,1.444720067,0.190045887,0.615981211,4.031880366,1.385044426,0.373620373,2.16937988,6.385487985,2.068430055,0.200880954,0.018918982,0.962363932,5.965895079,0.09396575,0.239275826,0.220949004,3.011996488,0.622086971,1.958805564,0.077789889,4.403369989,4.64203147,8.522040444,1.449429314,3.504353437,6.300713132,0.590434352,2.031889185,1.817950641,0.170309669,1.438612232,5.112053694,1.140582357,3.05429282,1.974088728,0.934629724,0.400100683,0,0.117960953,2.508808926,1.025241461,0.795018813,1.22570681,4.855042867,1.680864422,2.56352425,0.345396375
TCGA-DD-AADR,0.595998014,8.747159779,8.908038884,8.519131025,4.720289411,5.160052923,2.381864764,2.90519684,5.075960413,2.282054244,8.640101021,7.575223067,2.498889087,1.925087955,3.09034535,3.44759242,0.777703755,3.30560579,3.252536767,0.358733827,4.239229992,0.875386905,1.34238407,0,0.59493067,0.076011739,0.55758164,4.789285839,1.323543009,0.339479485,2.947254701,6.660717594,2.446838485,0.252778952,0.139076515,0.199499604,0,0,0.08106688,0,2.744677789,0.096396804,0.63784206,0.146003451,2.62459224,3.161404016,8.990415167,1.288712917,3.873281685,5.286056832,1.621993232,2.550605202,0.648373402,0.32998465,0.803723007,3.878538985,0.769348599,3.763740871,1.646254839,0.207018226,0.251325232,0.095586908,0.101381142,1.265436896,0.288299495,0.494978753,0.79018817,3.232752841,1.298599668,1.230756371,0.138028045
TCGA-2Y-A9GU,0.602986317,8.032304204,8.33214041,9.234947447,4.086605456,3.992079543,3.062622561,2.113933818,2.093357346,2.025879273,7.279394219,6.892195496,3.057138304,1.267535798,2.875190285,2.467540342,0.848637962,2.984552895,2.676673617,0.318924164,4.798802263,0.476951913,1.282439805,0.059355278,0.745108226,0.135928816,0.057692867,3.470510835,0.693587315,0.96702101,2.327054969,2.773616619,2.977939291,0.143915803,0.052276765,0.046141782,0.062121712,0,0.144699025,0,3.001009533,0.540225701,2.152475499,1.007697845,4.464289248,5.809988012,8.348354156,1.648189303,2.558610509,5.055095849,1.065296567,1.785299444,1.44794941,0.276317993,0.971515964,1.866116702,0.53126916,2.706464246,1.574101508,0.367147375,0.234256048,0,0,1.500292177,0.837943242,0.585443319,0.99646106,4.169540231,0.765195249,1.598698683,0.262914176
TCGA-2Y-A9GT,0.6037219,10.87540718,11.98796511,11.78403474,7.15533435,6.479175579,4.732166069,6.488402535,5.41876003,3.004878871,10.78365669,9.942402927,2.956985925,2.624545452,5.510629682,4.620604004,1.400647221,6.013359526,5.432812459,1.692873507,4.352207665,2.006298024,2.991771249,0.133563526,1.935195701,0.269751322,0.350497247,6.815341023,1.497126915,1.198557015,4.397994578,7.804744117,7.138955734,1.696973088,0.173767068,0.248170473,0,0,0.370387504,0.237563718,4.369682837,1.339536494,0.945532795,0.958434395,5.442711319,5.270050456,9.479905131,1.837297416,5.023840829,5.606619889,2.30287467,3.888947768,1.231801023,1.264656525,3.304788456,4.653134558,2.742566791,2.966762677,2.639718383,2.472045797,1.343350966,0.176450439,0.186880831,3.920693464,3.772783023,2.725632105,2.984534667,5.204035047,2.382667253,2.430151436,1.814673463
TCGA-G3-AAUZ,0.605226263,9.636521127,9.891155615,10.44638414,4.149470746,6.3397841,3.756478932,3.875504863,5.05155917,2.336483352,8.721846667,8.836468897,3.24917225,1.512226887,2.65060374,3.598377117,1.313361959,2.31205521,2.350723534,0.783247097,4.023521508,1.046560906,1.738292263,0.139993302,0.771801084,0.157302466,0.360645202,5.473394045,0.736734744,0.529671048,2.492596694,5.37647446,4.039392861,0.139993302,0.05088474,0.211386062,0,0.043484498,0.293488202,0,3.776514624,0.197991166,0.506297265,0.105007525,3.217137636,5.943586159,9.755914222,1.651820923,4.214202535,4.839012256,1.018705381,2.9151193,1.655397628,0.309525466,1.084200362,4.978282592,1.253384236,3.095586908,1.724781221,0.707966455,0.684728987,0,0,2.372840689,1.843742705,0.911806609,1.231309516,4.837085441,2.168481585,2.938285792,0.346985247
TCGA-BC-A10T,0.606073478,7.979315435,8.329304819,8.950969036,4.964107476,5.070389328,3.700073449,4.166795771,2.564012265,2.311503115,8.422616922,8.212794499,2.638838437,2.578334949,4.558230893,3.049386813,1.558120663,3.336440505,3.657502817,1.108691716,4.808910133,1.315160433,1.222866372,1.159112461,1.218843151,0.190045887,0.561985922,4.479282307,0.75890009,0.427606173,4.176905159,4.272239726,2.858876183,0.3911078,0.061983516,0.08120326,0.018776585,0.02672925,0.701770822,0,4.658702772,0.15367565,1.624615633,0.215989154,4.924575003,4.408059648,9.848152658,2.184597684,3.494133957,5.889395662,0.673104098,2.051232872,0.443500567,0.101784524,0.59779335,3.444415289,0.16774328,4.401207207,2.043519494,0.138028045,0.143654635,0.062950609,0.06681251,1.560421495,0.302991616,0.429428502,2.967408422,3.270783074,0.775682702,2.226046053,0.400975044
TCGA-XR-A8TC,0.606514969,9.588963245,8.307292811,9.611444446,3.770649359,3.70042862,2.72905239,2.589451908,0.151988666,0.370722275,7.388559809,6.935807414,4.228326167,4.283914366,4.40659109,2.377373665,1.131457785,3.197771053,2.69088637,0.571531198,5.897978529,0.28912622,0.428892762,0.075190314,1.32981248,0.093830572,0.913875539,2.401848875,0.972104429,0,3.082566351,4.482828927,2.278311919,0,0.066399229,0.186500558,0.02672925,0.075190314,0.05088474,0,3.739027174,0.089904868,2.418081978,0.260868739,5.41674518,4.272702559,9.942734412,1.803640357,1.579131864,5.738457111,0.245739032,1.394569017,1.96761131,0.162983392,0.362666256,1.903192561,0.436268465,4.606915942,1.1978025,0.317651385,0.316377482,0.045303168,0,1.935761456,0.359633613,0.086783766,0.712111499,3.551762085,0.466966384,1.377679059,0.036327492
TCGA-LG-A9QC,0.613561511,9.818737782,10.86565039,11.33749814,3.94076814,3.633361457,2.404548943,2.990973007,1.595980979,1.296193073,6.9310424,6.843101983,3.881204528,1.790646943,4.147982295,2.282291525,0.609660418,5.13840083,4.28084499,2.304803056,3.947787701,0.621993232,0.982947955,0.14834845,0.296428039,0.192572941,1.358846331,2.69280657,0.19105724,0.2282338,3.292472567,2.373982227,1.823790114,0,0.027295624,0.223546116,0.155101558,0,0.30987466,0,3.247061637,0.209390977,0.482228746,2.348090749,4.555190361,3.214839757,0.235359447,1.683292219,1.771463058,5.906368727,1.634407402,1.920407644,1.304803056,0.051441711,1.029417547,2.27735994,0.545375359,4.72678763,1.192572941,0.201006466,0.220825216,0,0.058247217,1.02112434,0.459536538,0.293958979,1.077789889,4.510677149,1.227001675,2.608927492,0.168385305
TCGA-CC-A7IF,0.614252999,8.772738824,9.0122502,9.907226284,2.658896957,4.496417608,2.456070161,2.217633994,3.054865838,1.759113213,7.544355553,6.542191486,3.225290356,2.058628209,2.197141976,2.315884991,0.687777377,2.591823009,2.812949959,0.524264315,5.024505856,0.280124892,0.52717045,0.087598618,0.243912759,0.021053252,0.464981862,2.781947164,0.468531186,0.128161401,2.841490128,3.697495838,1.80227595,0.160016608,0.039138394,0.101246657,0,0,0.109293689,0,4.606773844,0,1.677801374,0.989647677,4.389628758,7.418883968,6.924374285,1.290719283,2.023716657,4.844425828,0.436268465,1.356932568,1.649247554,0.018776585,0.280956314,4.681033151,0.06253622,2.820648719,1.315856015,0.025737561,0.01720929,0.078609835,0.083383588,0.994217647,0.154323965,0.097610797,0.674279851,4.896853073,1.132642643,2.44794941,0.063088712
TCGA-DD-A11C,0.616797311,10.33706434,11.36886387,10.86169628,6.285921865,5.624074568,3.854115368,3.841147911,4.815872544,3.489684218,10.10758758,9.25295678,2.863720444,2.616969278,5.729661526,3.793989493,1.451699072,4.611603235,4.400893095,1.202887833,4.925624459,1.427820684,1.273635239,0,1.824890024,0.203263813,0.105275783,3.893381628,1.224472524,0.54823932,4.26646424,5.363857911,1.752577341,0.285698126,0.107152199,0.320426911,0,0.1212807,0.33845294,0,4.427472087,0.480471945,1.448319528,0.250233981,4.378761299,6.049423845,9.735303001,2.155328277,3.422125333,5.448996731,1.805994025,3.476329838,1.159887479,0.258096758,0.902575299,5.773703643,0.540424105,4.033061732,2.311386858,0.471551666,0.392207499,0.037171338,0.187514398,1.14737183,0.485941983,0.514198023,2.280600049,3.401562207,1.125981654,3.409594596,0.30626224
TCGA-DD-AAE9,0.618683962,10.66001952,10.13895062,10.66582115,3.987238996,5.058056683,2.462340305,2.780226097,2.837801992,1.420617139,10.15984157,8.76544789,2.524640438,2.106180788,3.849178631,2.37587352,0.375734539,4.654063133,3.889210679,0.243425362,3.835236913,0.301938767,0.554539738,0.12895322,0.98935703,0,0.216237552,3.020484422,0.819177666,0.086376168,4.286208423,4.887223053,3.677248883,0.108223341,0.038997979,0,0,0.065985829,0.087734382,0,2.400346651,0.357495703,1.131391932,0.603881483,4.625299717,2.13796249,6.79807774,0.774502445,1.861240785,5.311579404,1.250900955,1.631756201,1.463046938,0.108892402,0.280006078,1.424707146,0.388134419,1.878058272,1.061499727,0.147567207,0.192699178,0.078336571,0.083111227,0.207143205,0.292781749,0.319502329,0.792522224,3.381823244,1.079838881,1.98531826,0.952855377
