"","RS","HLA-A","HLA-B","HLA-C","HLA-DPA1","HLA-DPB1","HLA-DQA1","HLA-DQB1","HLA-DQA2","HLA-DQB2","HLA-DRA","HLA-DRB1","MICA","MICB","ICAM1","ITGB2","SELP","BTN3A1","BTN3A2","CD274","CD276","PDCD1LG2","SLAMF7","VTCN1","CD28","CD80","ICOSLG","CCL5","CD40LG","CD70","CX3CL1","CXCL10","CXCL9","IFNG","IL10","IL12A","IL13","IL1A","IL1B","IL4","TGFB1","TNF","TNFSF4","TNFSF9","VEGFA","VEGFB","ARG1","ENTPD1","GZMA","HMGB1","IDO1","PRF1","ADORA2A","BTLA","CD27","CD40","CTLA4","EDNRB","HAVCR2","ICOS","IL2RA","KIR2DL1","KIR2DL3","LAG3","PDCD1","TIGIT","TLR4","TNFRSF14","TNFRSF18","TNFRSF4","TNFRSF9"
"TCGA-DD-A4NF",-0.193323002919354,8.48116733225204,8.44683186947626,8.53030839828995,5.045228892206,4.10841572783742,1.84326030579973,2.23370403121288,3.81266250865323,1.98881191096124,8.10203815575071,6.40549890081089,2.57080292009578,1.57748925378772,3.67535302047702,2.06450350808747,0.376623787423014,3.19791255803174,3.02460336714066,1.06915220186942,3.6906294052837,0.94673086014031,0.377623537635727,0.0540843928423792,0.320311370907041,0.0758748669751276,0.402722176845605,2.65218817325313,0.0874628412503394,0,4.45821136965203,1.41883759826866,1.1609201881811,0.0673633671196102,0.0240359354555094,0.198996966240109,0,0.119024103142275,0.791105570412529,0,3.32221660504549,0.271186601597253,1.21007709890321,0.191057239926314,4.29375303314546,2.65186683476524,3.46063773200346,1.28658548326394,1.58549139194535,5.7311913892998,0.80421880666708,1.86457246275713,1.13815914522947,0.383386346199016,0.336283387864432,2.32624970083746,0.112499976200718,3.44777753695305,1.03167749645076,0,0.121148056475311,0,0.101246656683439,0.339137384919586,0.220949004466779,0.105678077894537,1.72443199575995,3.36072946956931,0.0641930619274924,1.97166310300877,6.30366021418929
"TCGA-DD-AADG",-0.03318286729254,8.98757611213523,8.76807413308065,8.85067598932496,2.81762325751143,4.00288250853312,2.42277121932047,3.07023474514136,0.789604066331577,0.382501257189115,6.88468582796224,6.52758021957443,3.74399959081726,1.89433274227769,3.50401013681651,1.97158953553006,0.809743695116745,3.97052238530641,3.54480682857812,0.627046459392409,4.26415356309763,0.590530164319821,0.560030123126304,0,0.270229907237998,0.0248869993131795,0.780897977229827,3.62509511059851,0.0429244451738409,0.0517201164473276,4.80143288697705,4.32773047194957,2.63324519416856,0.127369146616222,0.0233263318600275,0.118758388979835,1.77429158335438,0,0.152507948364903,0.0951817893426852,4.80800398879694,0.0930192331335447,0.74605473529694,0.0954518810856605,4.59918685008725,2.10168368928722,7.29102515594463,1.29736752321766,2.37314704352943,5.51343389571424,0.983896544602295,2.2214440529544,1.29537038795348,0.0655723115936221,0.326192164494116,4.88363547774614,0.0735460609151547,3.60831249165841,0.65480212578979,0.0892269420703955,0.0201999229434977,0.179128828772152,0.0497701518163845,0.964435600212331,0.278936314679231,0.186120183680639,0.841329094569233,4.38880947344331,0.569393872036115,1.31817220300303,0.178873958169795
"TCGA-DD-A3A5",0.0485330252554897,9.76783552101544,9.8748301563537,10.2118460835424,4.52707033551266,4.56738724872469,2.45125068235363,4.23803780863012,0,0.363451457071713,7.84461475957068,8.03275876841431,3.08491465976794,1.43589524132036,3.87676249078156,2.37228351288053,0.7516351033279,3.52224411104232,3.59238527448644,0.969012307516316,4.90839502276141,0.686971077169275,0.805044761370403,0.060185765046563,0.425674135387581,0,0.0585243118408003,5.14804332728818,0.431034530351614,0.0594937253916716,4.80486928555718,3.52133974963968,1.633198686374,0.0747794264966133,0.0268708647247452,0.337882321733961,0.123401335971914,0.132116159533725,0.37851162325373,0,3.39541931507415,0.106884288691543,0.4756037446846,1.15276751926177,5.39442153541282,4.41686000434134,10.9302482017287,1.17555653643184,3.89629122671674,5.46468786870508,0.0779265786850691,2.25235510138826,0.823341761763143,0.0255958358826835,1.32889389521384,6.4484054350692,0,3.25105249682606,1.00273851980693,0.228480098329917,0.197236354918707,0.105946211905325,0.112366523072563,1.53560509780631,0.663845547243145,0.362666255848254,0.946880548358009,4.40521636217355,1.33462547893494,1.99848437436429,0
"TCGA-DD-AAW1",0.0495252407926297,9.31137141703378,9.68568195074934,9.59648609329364,3.41439265083839,4.04071712290735,2.27485800105716,2.1219437335104,3.35035579946003,1.62484954448937,8.08860116640528,7.62612442546991,2.57368959680295,1.28569812595812,5.32709090778641,2.49085248084786,0.714135593856333,3.8095996571022,3.50619569226481,0.894138688199671,4.17855530658575,0.760859636821907,0.578600636152743,0.317535622016354,0.809414444235898,0.128029388740641,0.0378741656611201,2.36241377895552,0.280481274300624,0,3.9014848010067,6.20719983248513,3.88397265022008,0.0579700686373299,0.0611540632071007,0.297132709571163,0,0,0.356819915075995,0,2.76519524876384,0.122738971954545,0.849759123802511,0.542010355536609,4.34222759890528,2.15526350402483,3.22150592207296,1.00309846468065,2.0176369030495,5.44327842754007,0.541713066314644,1.99236964084693,1.16658691407045,0.058385771000353,0.499067737839628,3.74140226591959,0.0654344459486331,3.51421065015692,1.05838577100035,0.0270124650625817,0.278698481668324,0.0418036876570852,0.129085148056611,0.679333711313673,0.221320306757051,0.102187793223615,1.31342000969062,3.47408554844367,0.392537245275131,1.02750795682646,1.88334710833732
"TCGA-DD-A11B",0.0568716453045376,7.85752075175285,8.41025120476042,8.78539753844047,4.21723847262477,3.88689151549692,2.33816765925608,2.98194396021303,2.09125976619268,1.03463831799901,7.13159462857045,6.35534581020429,2.93971554402365,2.32578934582868,4.48377708995115,2.34261163296144,1.88021532398885,3.62871527975303,2.96788793081851,0.70310069960416,4.96816910715606,1.22101089481839,0.566961242314489,0.0705267208766824,0.751378022449154,0.0665370023957913,0.755058478110681,2.94768485654573,0.926986188148874,0.092342768995447,2.83171513151783,7.73424151505573,1.96823824048466,0.170309668833176,0.0210532520540752,0.0368901105402659,0,0,0.244765307569313,0.0863761675969373,2.9811585317591,0.164271397680741,2.08474462086847,0.168385305414752,4.15693857719208,4.02708326002007,9.08699601145175,1.87558349722025,2.44887452791706,6.13102556416711,1.24956669834036,1.82011767849237,1.00144197417391,0.258458622717901,0.467383830757731,3.68685905537813,0.0666747627244602,3.69199191347436,1.0611540632071,0.132511039799195,0.106482330469981,0,0.0451633516032245,2.03977009283301,0.470823163168585,0.137110007802351,2.21362723851195,3.28686636600095,0.162725652846203,0.977756163249592,0.0227583975781576
"TCGA-DD-AAEB",0.0621802549260793,8.12123095997783,7.71283167096234,7.92589382270284,2.97274778779309,4.20325598081933,1.88596475675397,1.66393660635517,2.21642382242152,1.0820212693455,6.18152797966793,6.20690495437777,3.28840286125891,0.510556895400242,1.35541100557039,1.79185573684293,0.457121457950096,1.96750064746218,2.58810895126713,0.441589712419546,3.45129025178961,0.246225648519871,0.330558400030802,0,0.327457434294153,0.0981500210920115,0.133432006980735,4.10989541090149,0.27953072572999,0.244765307569313,3.85114935522187,3.54705492185596,2.21001473770927,0,0,0.0411027718191281,0.0280032784727525,0,0.0268708647247452,0,2.45659590512621,0.0941009164388665,0.542802827427389,0.465608848395593,3.14925936549962,2.61835613412171,6.94603483984847,1.29824773416658,2.38692128221782,4.6733189703131,0,1.5409199954277,1.02835697555974,0.0224743465748992,0.174278571036122,2.06577908536187,0.426211072027404,2.47240978583928,0.739243253453429,0.0607391578576785,0.0406820588030078,0.0473987888754111,0.0503275535584249,1.50217781970755,0.216485907200054,0.301236440765232,0.575312330687437,3.81198471935167,1.109226815542,1.93561060998684,0.351628329102782
"TCGA-G3-A5SL",0.0967403924258708,9.78991651965789,9.97335125015703,11.2065586153378,5.11509568511297,4.1633296565508,3.44165610397049,3.29328218927276,2.0936277797818,1.36502057861953,7.87935717904752,7.43973864826149,4.12060906755539,0.940805718166744,3.45835575400743,2.60852540589573,0.235727059838058,4.26007083359566,3.01156719931704,0.515207819035821,4.01273849749612,0.75343338792688,0.652509440183664,0.130271954518859,0.495388173572822,0.12300395405482,0.0856965806792463,4.07574653806091,0.716508086768746,0.128821280650134,3.66912883937788,6.22591113655946,4.34796323460543,0.0556121566866925,0.0966666685801791,0.101784524166932,0,0.0665370023957913,0.192194165283345,0.0814759815979586,2.7553149040451,0,0.530969648783848,0.68920968830163,4.15999239701713,1.96443560021233,7.70956911075507,1.36809782192808,1.87148884380837,5.77592495641261,0.927289673827803,2.44551483830211,0.386369519086874,0.074231394185792,0.282499112935971,4.1479578813871,0.439676323490687,4.90075573429605,1.2862897581341,0.283803270928366,0.379288249971929,0.0401209172008775,0.0425042631289634,0.458591988151856,0.240985904024739,0.366811773127127,0.899098272104083,3.24403458239369,0.711318688860582,1.3502709242284,0.37851162325373
"TCGA-DD-A3A8",0.12746088428423,9.42242665637279,10.0430527185625,10.0113880119023,3.60930582270942,3.21045120946998,0.83745889932575,1.23112515787905,2.77241355474848,0.952855377173743,6.42319492522076,5.43953338184786,3.05062358566258,0.858378925082071,4.02127539036691,2.79935674981253,0.790271594413302,3.39567978996952,2.89340104456264,0.560421495130302,4.1422827234548,0.341758085078721,0.712639797930852,0.0255958358826835,0.180275189611879,0.0478175480213695,0.0493519591352915,3.32675304598604,0.0820212693455023,0.145612247166476,4.57685465712973,5.43226460905083,4.00068511744191,0,0.150949541471927,0.0394191831333972,0,0.0754641742625125,0.260627908126699,0,3.97599695761644,0.0903114713760366,0.917164388054544,1.41001540305702,3.87329152944895,2.31808541304295,6.53269566383185,0.869476633965402,1.84775643734181,5.30960549712039,1.25223397847316,2.99059187258758,0.838830781162876,0,0.218967110048957,2.65200456002422,0.235359447390946,3.22119654994455,0.786679993961836,0.0294175468350917,0.202135580889849,0.214249170254514,0.140255134034916,0.564134243458237,0.141825129700028,0.146264194866526,0.749577172460001,4.06130962195538,0.954196310386875,2.98550043030489,0.53784272132138
"TCGA-G3-AAV2",0.160988615902336,9.5325990490844,9.48393686990836,9.43837187157192,5.48502745451998,5.35747810858937,3.154761412554,3.55480984335306,1.90965791431038,2.42521758207082,8.30893737417561,8.02854870945217,2.53878645466232,0.953823953941167,3.91250616301543,3.05509150984027,0.451329820140333,3.87208998933479,3.63813177557718,0.482435287992035,3.95879628558935,0.655351828612554,0.532067552289031,0,0.630964547265677,0,0.239886800795721,2.78822631344224,0.249506020989147,0.156008221107128,4.57622582896484,4.1744943071101,1.65645060630534,0.194465331637997,0.0714881055841824,0.0835197488201729,0.0288520058474934,0.0810668804918885,0.207767937572171,0,3.49588699761416,0.23094077612394,1.46686200377592,0.0506061736907874,4.55283813842764,3.54552363428414,1.42244831223346,1.21163525332715,1.89956236015469,5.62038699979558,1.17171923908785,2.73242116840144,0.713343895085329,1.42142529605755,0.287354085029207,3.46637914571676,0.149129269909933,3.67360164883117,1.50182126542091,0.0316774964507602,0.179256247190507,0.0487941802608049,0.150299708101682,0.405012082912592,0.115565995921603,0.205392512989685,1.03167749645076,4.29387807522351,0.674370254302114,3.18369293926734,3.93412015419959
"TCGA-RC-A7SK",0.172153937316399,10.1905626395901,9.99615454937952,10.3664930323411,3.58304966225646,3.42243485620294,1.47565562059625,1.5349082398514,1.97929371044573,1.34499888398749,6.27881368692915,5.7837945008926,4.05428413572038,1.70946710138817,3.33843867763981,2.48537530142724,0.640435836619588,3.40567928810608,3.72875860741141,0.250840333561645,5.10444569659846,0.0326651122818301,0.477159211186641,0.684818737553223,0.155878732704143,0.0247451901971378,0.322620422361685,3.6721197977276,0.164013888525057,0.196229325794221,3.33458257669597,2.2030131707745,1.5245652210772,0.0648828515848544,0.0231843692482634,0.155749232677945,0,0,0.0524158941511385,0.094911647025467,6.02476070124814,0.26219258817258,2.10111215847415,0.423309237242387,4.52905255366989,6.19242302107035,9.04031630034763,1.10426955615925,2.31626161675958,5.56546313545994,0.0229004021100788,1.14873891273753,1.24482618463078,0.0220481651801732,0.946581156389953,5.43950013757545,0.420617138978691,2.84809709023201,0.700084549493092,0.326882449215844,0.153805336079035,0,0,1.62236815241691,0.278103727551442,0.275483892667288,1.43285253701857,5.39672806854644,0.766807151302921,1.25791579132422,0.0978804340519131
