"","ID","B_cell_TIMER","T_cell_CD4_TIMER","T_cell_CD8_TIMER","Neutrophil_TIMER","Macrophage_TIMER","DC_TIMER"
"1","TCGA-RC-A7SF",0.0818178156279276,0.117843625180026,0.16706417492823,0.110010663471988,0.00625776310525427,0.461612109955316
"2","TCGA-EP-A2KC",0.0874682771725787,0.130516609875539,0.162233223214516,0.115477437597694,0.0423892673958714,0.486730537617282
"3","TCGA-ES-A2HS",0.0793091699505144,0.105626569232779,0.149632329763151,0.0958196195080936,0.0326332053585074,0.435316141731525
"4","TCGA-CC-5259",0.086619820760908,0.112125117233678,0.159708675624704,0.101452524995621,0.00691778868480804,0.449634392455463
"5","TCGA-ED-A97K",0.114732903348146,0.171984616961221,0.1881041045705,0.159151279696616,0.0601791958380566,0.577530886685014
"6","TCGA-DD-A3A1",0.0837223051024522,0.115433618758424,0.180921436054421,0.129618307938769,0.0441252454510088,0.502549129917761
"7","TCGA-G3-A6UC",0.0792203919156973,0.10666007879872,0.175040924726185,0.104700680260453,0.0293374085660656,0.454555051867337
"8","TCGA-DD-AACU",0.0951596398893176,0.144663752638151,0.192850725130376,0.122374336892739,0.043052275764646,0.525206865503758
"9","TCGA-DD-A1EG",0.105745963354684,0.138670533220999,0.205195914576767,0.137446579296077,0.0411346730103639,0.571367855292251
"10","TCGA-DD-A4NJ",0.103906259546323,0.148088050956331,0.192533149831743,0.142458408237642,0.0565318167311978,0.566164828828572
"11","TCGA-BD-A3ER",0.0898414460622035,0.131895024639638,0.16305359439649,0.128031680646639,0.0362106492651692,0.511120453213228
"12","TCGA-G3-A5SL",0.0842093047729757,0.109253780663242,0.169885275368211,0.109868056857148,0.0323426862383412,0.462052145012875
"13","TCGA-DD-A73F",0.103653694101509,0.151867030584921,0.256722964192056,0.13297482498271,0.0484027065505395,0.559201592804086
"14","TCGA-CC-A3M9",0.106455347499981,0.185838539784697,0.322194862812261,0.190129203142688,0.103274549201742,0.68525283189582
"15","TCGA-ED-A627",0.110855404748247,0.15647166884508,0.278181275901863,0.167341590095181,0.072854374336759,0.581648186156402
"16","TCGA-CC-A8HT",0.103104053829096,0.130666577423763,0.186930005209745,0.144351686651519,0.0564853623517258,0.539598896639715
"17","TCGA-UB-A7MF",0.119404442163441,0.146439832532374,0.258700352815515,0.142211565096537,0.0463582197772274,0.573356464699693
"18","TCGA-2Y-A9H1",0.0873574718727833,0.123028190478606,0.180109281015923,0.105755510991636,0.0247111189219285,0.480791913925364
"19","TCGA-DD-AADO",0.100055011486263,0.131234442240483,0.206942551164465,0.117696827287417,0.0423395991593492,0.519197299472693
"20","TCGA-ZP-A9CV",0.0974457131499941,0.138291625515281,0.215985199332949,0.141567364913653,0.0539391526004668,0.515783707378564
"21","TCGA-4R-AA8I",0.0940680922255059,0.115573236894847,0.192208631754989,0.124615111093588,0.0471584657509597,0.505620240619222
"22","TCGA-DD-A113",0.106187472447444,0.138092439247398,0.184112587883135,0.122386255246033,0.0431198235883351,0.528301776826631
"23","TCGA-DD-AADL",0.0856846767259126,0.100028616701135,0.187760243901501,0.112408770178628,0.0392165939385249,0.458431138241757
"24","TCGA-RC-A7SK",0.0834751178886812,0.116117217518439,0.159405352167482,0.100470837330435,0.0235402763521843,0.444044654451096
"25","TCGA-DD-AAEA",0.0914872303737494,0.12976908824568,0.201756633716727,0.115624650460979,0.0216195955839331,0.50155156582865
"26","TCGA-FV-A495",0.107225376788258,0.146499414352941,0.202259133584495,0.122309074805195,0.0438580334463959,0.530284664932918
"27","TCGA-EP-A26S",0.0766150484831387,0.0976793571124693,0.192533119644247,0.10543072483771,0.0361025124213899,0.477421482586641
"28","TCGA-DD-AAEG",0.095947405751091,0.109970020136892,0.158883810303459,0.113545398716002,0.0280423071882141,0.459963763615773
"29","TCGA-G3-A25S",0.0796500588603032,0.107663547209575,0.190281928680062,0.115507877638487,0.0588173016230222,0.490614649720008
"30","TCGA-G3-A3CJ",0.0755542324228033,0.0837312225992657,0.181462762590537,0.103116634624633,0.0313115765706844,0.455036297751208
"31","TCGA-G3-A3CI",0.0873532301133444,0.114641112188145,0.203156703057274,0.124091416701072,0.0559101021639811,0.481582456217051
"32","TCGA-2Y-A9H2",0.116356533906199,0.156102606128257,0.17113856617431,0.153552684594569,0.0373456356496639,0.56108527227716
"33","TCGA-DD-A4NG",0.0818790421767317,0.129526073774242,0.169224984176489,0.11587182755679,0.0308610173458527,0.470697368136121
"34","TCGA-K7-A6G5",0.0904103223921057,0.118911635085018,0.187145764864745,0.125495185928205,0.0395473183156893,0.494751974972222
"35","TCGA-DD-AADG",0.072899522789251,0.10447633961733,0.179492063263506,0.100088657903892,0.0122147768786391,0.450317886439008
"36","TCGA-LG-A9QC",0.085029161337895,0.116317545867169,0.166750197495072,0.105905390410225,0.0325243925078822,0.472794639117326
"37","TCGA-DD-AACJ",0.0746556211605792,0.0985610869736799,0.150433827362229,0.10512806778857,0.0355145392545463,0.443813232703677
"38","TCGA-DD-A1EA",0.114320960587653,0.128067085800102,0.216483435416697,0.131063703181428,0.0487572220209801,0.522626938173741
"39","TCGA-LG-A9QD",0.101328808793322,0.127355732123434,0.166360369975108,0.11209425110395,0.0274975943417538,0.46331011821137
"40","TCGA-ED-A7PY",0.0944271362781415,0.122735205684983,0.152439251861685,0.101416304675199,0.0231610475628965,0.459650508339021
"41","TCGA-NI-A4U2",0.076209848288062,0.106549941108502,0.166793210844209,0.105947960353634,0.0221056790085635,0.463545481926846
"42","TCGA-DD-A1EK",0.0859709263441023,0.106785228958988,0.181941025607503,0.130713227118363,0.0670241354342766,0.499071154597506
"43","TCGA-DD-AADP",0.0991857369878869,0.135439813398086,0.179540864798964,0.12703939610184,0.0303853818885573,0.494247118356304
"44","TCGA-DD-AAVS",0.0983098057636538,0.152260891245207,0.189306791455862,0.120280394011378,0.041949835651115,0.512810189706782
"45","TCGA-ED-A82E",0.123829378465767,0.16055049069822,0.165036307251878,0.138262554806468,0.0563837339661196,0.529862435903086
"46","TCGA-CC-A7II",0.107038315109563,0.125923310756362,0.172316979717692,0.120705243495951,0.046900391442521,0.517262656919992
"47","TCGA-EP-A3JL",0.0919155922164792,0.133440850827081,0.203122486706554,0.124258899185236,0.0433559154313782,0.530979440236685
"48","TCGA-DD-A3A4",0.0824983568756732,0.0944937846274251,0.149255375458668,0.101019310637602,0.0139110814453292,0.43733646655857
"49","TCGA-DD-AACP",0.0924784180151493,0.131191142660033,0.166988538105177,0.113085757962592,0.015514459528984,0.512100994218495
"50","TCGA-2Y-A9H6",0.103950146534919,0.176200972017873,0.183775460347263,0.125084710281786,0.0480772036193874,0.540175674422648
"51","TCGA-UB-A7MB",0.0835025165535926,0.114374480133035,0.181513699498438,0.111381037451061,0.0350927554043559,0.468000687657968
"52","TCGA-UB-A7MD",0.0932087608386546,0.137940093685598,0.198569899277924,0.147240548127806,0.0483977335412996,0.555525896691946
"53","TCGA-CC-5260",0.112966164046425,0.153537091967017,0.252106954614647,0.156586871807408,0.0804828226853086,0.601864309469678
"54","TCGA-DD-A1EH",0.107413349247435,0.129370427342892,0.192661580964666,0.1250742267929,0.0415303625920297,0.512492953030609
"55","TCGA-ED-A4XI",0.0924453283732706,0.138689184147775,0.215456182953591,0.132141934236746,0.0604647173017662,0.53153258851257
"56","TCGA-DD-AADR",0.0908904845803984,0.111701523617123,0.206328586743433,0.111188315975004,0.026506339021846,0.4936350314001
"57","TCGA-FV-A496",0.0797967577249921,0.114627443515516,0.136928746821434,0.103306111121907,0.0215399496166268,0.428213948295304
"58","TCGA-G3-A3CG",0.0933443517030106,0.129977912936516,0.182562822299501,0.1246865698404,0.0302182807666658,0.487662853597584
"59","TCGA-DD-AACS",0.0891142751073256,0.107894988361711,0.163150846413177,0.112540974023955,0.0310509952675899,0.461669231120839
"60","TCGA-DD-AAVR",0.113497323107818,0.154517252264494,0.209170412783064,0.13732343498321,0.0512081256690048,0.550390187431063
"61","TCGA-BC-A10T",0.0898675622004311,0.10382925760083,0.208290802068968,0.117366517539825,0.0417400684104458,0.501655033294344
"62","TCGA-3K-AAZ8",0.0980594339410591,0.142211739155493,0.178289489739762,0.115209706026924,0.0329763167621144,0.48180439211342
"63","TCGA-DD-AAVV",0.111468606086118,0.156814225164594,0.21410618081551,0.142208701363421,0.0471501580040425,0.572621186681199
"64","TCGA-2Y-A9GS",0.093175366200266,0.141501556623359,0.193226341734902,0.130374091077704,0.0659432002000299,0.545615723782833
"65","TCGA-RC-A6M6",0.105090956664434,0.13525929337351,0.164950531465043,0.121080883590254,0.0335580387371809,0.534206853719465
"66","TCGA-G3-AAV6",0.0992438927965446,0.131815162996556,0.160856054935034,0.112223459625077,0.0256761508832399,0.498431052764976
"67","TCGA-CC-5263",0.109858595524852,0.144340590195933,0.183164061397856,0.158455139049038,0.0662833972099609,0.580509133483003
"68","TCGA-ZS-A9CE",0.0816453417135874,0.100568490913199,0.141036084079652,0.0995697540533591,0.0204758329421441,0.420670553618378
"69","TCGA-DD-A4ND",0.0982215887016603,0.152014977280543,0.23073293909507,0.147706912539246,0.0657998460083081,0.554431284627209
"70","TCGA-DD-AAVX",0.0954313556673452,0.135321057898872,0.200118612543116,0.121692257174339,0.0359129449943851,0.506315830356894
"71","TCGA-DD-A4NE",0.0944682855943543,0.109069365015554,0.165983342542651,0.112783436828173,0.0454161061722905,0.460594660581051
"72","TCGA-2Y-A9HB",0.0977896241726802,0.145029780632909,0.220293668325864,0.123485198814356,0.049433088263986,0.516363075257645
"73","TCGA-DD-A39Y",0.0979454455265606,0.116295259726213,0.157885437558863,0.110306695102515,0.0266679035432661,0.507097271133911
"74","TCGA-CC-A5UC",0.0986915636724025,0.122983125618371,0.185518126921494,0.12012476765074,0.0483639961540644,0.510722460579802
"75","TCGA-DD-AACB",0.125518848156918,0.125132120786756,0.23840629365276,0.131746000064334,0.0455328535529642,0.542997015564189
"76","TCGA-HP-A5N0",0.0919060376642384,0.116700962569546,0.225064887087867,0.123652303503548,0.054983446270921,0.510559464494903
"77","TCGA-ED-A8O6",0.0976850537511302,0.137644229575921,0.166154210744866,0.116400842879586,0.0460515886907721,0.508252296176456
"78","TCGA-ZS-A9CF",0.0869024089487296,0.125505755169805,0.210612383648481,0.122944305221676,0.0281799731105953,0.518096400204651
"79","TCGA-2Y-A9H4",0.10002693505826,0.107015476044593,0.201676309284922,0.107230715546061,0.0292369533485464,0.509986608083034
"80","TCGA-DD-A116",0.0854619595109786,0.115004539498395,0.179581064861522,0.111668334894918,0.0362134406421303,0.483111891281449
"81","TCGA-G3-A7M5",0.0746437715054624,0.104142427768091,0.185036516001096,0.113445645683833,0.0272410095246301,0.456050225356294
"82","TCGA-BC-A112",0.122730611809532,0.135943745323039,0.17764220523207,0.145427826420263,0.0583745945236806,0.549476556820616
"83","TCGA-DD-A4NV",0.0836740352660723,0.128035075106682,0.202378485276089,0.126231034390109,0.0488775465047478,0.504890443347584
"84","TCGA-DD-AAE6",0.0768280464050519,0.106166736278815,0.125936950826145,0.0927317915858383,0.0278684180956126,0.405628969725461
"85","TCGA-CC-A7IL",0.0720121431262089,0.0912968958375976,0.146440800602666,0.097048529289003,0.018370074199312,0.43204545161451
