"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"VPS37B",1.92286649576103e-134,1.93603012145654,0.411,0.246,4.00090831772997e-130,"Low","VPS37B"
"CHST12",5.38507609596164e-134,2.72693995445872,0.311,0.127,1.12047278328674e-129,"Low","CHST12"
"IFITM1",2.88572873975802e-133,2.58807697544868,0.324,0.142,6.00433578881452e-129,"Low","IFITM1"
"PHF20",2.81904679778932e-130,1.37926347160088,0.532,0.431,5.86559067216024e-126,"Low","PHF20"
"SLC38A2",3.06162060287988e-130,1.05769828157925,0.588,0.503,6.37031398841217e-126,"Low","SLC38A2"
"ZAP70",3.86461142290535e-130,3.09011902146667,0.26,0.077,8.04109698763916e-126,"Low","ZAP70"
"STK17B",4.99868995877814e-128,1.00646358221576,0.634,0.548,1.04007741972297e-123,"Low","STK17B"
"SNHG12",5.71102412751744e-128,1.83205236768175,0.424,0.278,1.18829279021255e-123,"Low","SNHG12"
"RPL36",9.62760522156656e-128,0.431782800875298,0.951,0.923,2.00321581845135e-123,"Low","RPL36"
"TNFRSF18",1.37747666614824e-127,2.8696896360978,0.306,0.126,2.86611569925465e-123,"Low","TNFRSF18"
"AMD1",1.42555441587215e-127,1.31461370412283,0.545,0.454,2.96615107310518e-123,"Low","AMD1"
"RPL38",2.73783072024682e-127,0.506971086455687,0.874,0.823,5.69660437961755e-123,"Low","RPL38"
"RPS10",1.92959952381592e-126,0.492682749470775,0.908,0.834,4.01491772920379e-122,"Low","RPS10"
"HMGB2",3.9186137100332e-126,1.49638446291919,0.512,0.405,8.15345954646609e-122,"Low","HMGB2"
"EIF5",2.76049323542939e-125,0.762172887075332,0.719,0.677,5.74375827495793e-121,"Low","EIF5"
"COMMD6",7.85750766435773e-125,0.740773714934351,0.715,0.643,1.63491161972291e-120,"Low","COMMD6"
"BCAS2",9.9185729364521e-124,1.51421058591398,0.465,0.336,2.06375747088759e-119,"Low","BCAS2"
"ISG20",1.81936680335099e-123,1.08212340877424,0.635,0.549,3.78555650773241e-119,"Low","ISG20"
"PDE4D",3.27375563119657e-123,2.64746534048735,0.298,0.122,6.81170334183069e-119,"Low","PDE4D"
"DUSP10",1.62278306629966e-121,2.50206836684026,0.308,0.135,3.3765247260497e-117,"Low","DUSP10"
"TRMT112",2.06413406460729e-121,0.923177899801031,0.587,0.529,4.29484374822838e-117,"Low","TRMT112"
"EFHD2",7.15189819168926e-121,0.932592537800896,0.691,0.598,1.48809545674478e-116,"Low","EFHD2"
"PTPN22",3.24247097152112e-120,2.84915130731681,0.262,0.088,6.746609350444e-116,"Low","PTPN22"
"ZC3HAV1",3.79809471628425e-120,1.34494114860444,0.488,0.354,7.90269567617263e-116,"Low","ZC3HAV1"
"NASP",6.13011652793965e-118,1.57680013383577,0.449,0.321,1.2754933459684e-113,"Low","NASP"
"HMGN1",2.04605805191769e-117,0.836249090841821,0.633,0.574,4.25723298862515e-113,"Low","HMGN1"
"SRSF5",2.35964750716784e-117,0.494291781623295,0.844,0.707,4.90971856816412e-113,"Low","SRSF5"
"ZFP36",2.47766534465682e-116,0.53393918424709,0.941,0.816,5.15527828262744e-112,"Low","ZFP36"
"MT-ATP6",2.53219827273963e-116,0.420407276270509,0.994,0.931,5.26874494608934e-112,"Low","MT-ATP6"
"MT-CO3",5.14864773740041e-116,0.409382617043061,0.997,0.945,1.0712791347209e-111,"Low","MT-CO3"
"SRP14",6.23328623708374e-116,0.409303950580234,0.851,0.809,1.29695986735001e-111,"Low","SRP14"
"PPP1R2",2.01497868962419e-115,1.48211123745697,0.52,0.447,4.19256615950105e-111,"Low","PPP1R2"
"RPS2",2.2947300128109e-115,0.35727187966431,0.989,0.931,4.77464473765563e-111,"Low","RPS2"
"CLK1",1.69259736682522e-114,1.08858464616073,0.568,0.495,3.52178734115323e-110,"Low","CLK1"
"HNRNPU",5.05993588585528e-114,0.835882230029001,0.651,0.598,1.05282085976991e-109,"Low","HNRNPU"
"RPL27",1.39431830076504e-113,0.423316645311671,0.881,0.83,2.90115808840183e-109,"Low","RPL27"
"RPL11",8.54482488410551e-113,0.34861133262373,0.992,0.95,1.77792171363583e-108,"Low","RPL11"
"RNF115",4.54666799735584e-111,2.04876221576299,0.34,0.183,9.46025210209831e-107,"Low","RNF115"
"C12orf75",7.21878036530738e-110,1.9537483293803,0.297,0.124,1.50201163060951e-105,"Low","C12orf75"
"EEF1A1",2.3322817680629e-108,0.392555228516867,0.997,0.97,4.85277867480848e-104,"Low","EEF1A1"
"C12orf57",2.36237607655079e-108,1.13721787814171,0.568,0.506,4.91539590247922e-104,"Low","C12orf57"
"MAP3K8",2.42014062144278e-108,1.16902951673839,0.595,0.525,5.035586591036e-104,"Low","MAP3K8"
"C9orf16",1.92730804077872e-107,1.13446387292348,0.539,0.489,4.01014984044827e-103,"Low","C9orf16"
"UBALD2",2.63261875383944e-107,0.919881961979531,0.594,0.545,5.47768984111373e-103,"Low","UBALD2"
"TRA2B",6.22008475059184e-107,0.948751100089643,0.622,0.569,1.29421303405564e-102,"Low","TRA2B"
"MT-ND4",7.42053750306563e-107,0.396698037676294,0.993,0.92,1.54399123826286e-102,"Low","MT-ND4"
"METRNL",3.24950979080281e-105,0.965213486937039,0.672,0.577,6.7612550217234e-101,"Low","METRNL"
"ARPC5L",3.53301434409437e-104,1.71993594690605,0.401,0.276,7.35114294575716e-100,"Low","ARPC5L"
"RPL18A",1.59241144732802e-103,0.371038285289955,0.982,0.929,3.31333049845541e-99,"Low","RPL18A"
"AREG",6.2659211729078e-103,1.16174340728092,0.502,0.367,1.30375021844693e-98,"Low","AREG"
"IQGAP2",1.79837137835949e-102,1.40676279808296,0.436,0.313,3.74187132695259e-98,"Low","IQGAP2"
"CACYBP",4.92458596063876e-102,1.67479362533626,0.513,0.44,1.02465860083011e-97,"Low","CACYBP"
"PIM1",2.79413905134698e-101,1.65764067094346,0.448,0.335,5.81376512413766e-97,"Low","PIM1"
"IER5L",3.95812879926019e-101,2.02929049502905,0.357,0.212,8.23567859262067e-97,"Low","IER5L"
"ARF6",6.4958386411944e-101,1.00369587537261,0.565,0.507,1.35158914607332e-96,"Low","ARF6"
"RPS24",1.27648616302677e-100,0.311906240897143,0.991,0.942,2.65598475940979e-96,"Low","RPS24"
"PNN",1.46539464464154e-100,1.34423153250322,0.483,0.392,3.04904663710565e-96,"Low","PNN"
"CALR",1.96936059251951e-100,0.64938618769675,0.714,0.694,4.09764858485535e-96,"Low","CALR"
"IFI44L",2.92965185449325e-100,1.88863104452659,0.279,0.115,6.09572661364409e-96,"Low","IFI44L"
"UBC",7.07022803414417e-100,0.596625540321217,0.986,0.928,1.47110234706438e-95,"Low","UBC"
"MT-CYB",1.81972802607321e-99,0.352063453674176,0.992,0.928,3.78630810385054e-95,"Low","MT-CYB"
"OFD1",2.529955755424e-99,1.95484681904451,0.325,0.177,5.26407894031072e-95,"Low","OFD1"
"RPLP0",2.76313119602456e-99,0.353104591851304,0.899,0.868,5.7492470795683e-95,"Low","RPLP0"
"AKAP13",6.32455763833508e-99,0.818160456165351,0.61,0.531,1.31595070780838e-94,"Low","AKAP13"
"RSRC2",5.91728693031951e-98,1.03671089608592,0.577,0.53,1.23120989159158e-93,"Low","RSRC2"
"HSPD1",2.39114630566423e-97,0.955563704039862,0.672,0.63,4.97525811819556e-93,"Low","HSPD1"
"CITED2",2.49022851722781e-97,1.32569219862916,0.479,0.374,5.1814184757959e-93,"Low","CITED2"
"CLEC2B",6.54132866953582e-97,0.92492234274167,0.634,0.57,1.36105425627032e-92,"Low","CLEC2B"
"JMJD6",1.33166043283868e-96,1.72457702148858,0.393,0.271,2.77078586260745e-92,"Low","JMJD6"
"CLEC2D",4.84824707250737e-96,2.31295223324516,0.259,0.106,1.00877476837661e-91,"Low","CLEC2D"
"TOMM7",5.44427033091107e-96,0.545816717454239,0.73,0.732,1.13278932775267e-91,"Low","TOMM7"
"FOSL2",6.27794449888852e-96,1.16535573315424,0.534,0.445,1.30625191188373e-91,"Low","FOSL2"
"PDCD4",8.54501581168824e-96,1.53622105367358,0.439,0.345,1.77796143993797e-91,"Low","PDCD4"
"EMB",1.1003624482993e-95,2.50176391758051,0.264,0.117,2.28952414617636e-91,"Low","EMB"
"PNISR",1.13872953545581e-95,0.999887890853901,0.575,0.518,2.3693545444229e-91,"Low","PNISR"
"PDE7A",1.43600939271199e-95,2.52532768830715,0.265,0.116,2.98790474341584e-91,"Low","PDE7A"
"TAF7",1.71948395755276e-95,1.3802084202569,0.462,0.37,3.57773027048002e-91,"Low","TAF7"
"INTS6",7.33312787734161e-95,1.55658734749605,0.404,0.278,1.52580391743847e-90,"Low","INTS6"
"RPS26",1.25795279272754e-94,0.520460209831731,0.906,0.835,2.61742237582819e-90,"Low","RPS26"
"HNRNPC",2.25175342107594e-93,0.758307295689287,0.68,0.637,4.6852233432327e-89,"Low","HNRNPC"
"HNRNPA3",2.41773754393741e-93,0.810950826680254,0.632,0.606,5.03058650767056e-89,"Low","HNRNPA3"
"PITPNC1",2.96237250610303e-93,2.20958434601405,0.286,0.142,6.16380847344857e-89,"Low","PITPNC1"
"FAM107B",4.15234204312602e-93,1.34054175120891,0.492,0.418,8.63977808913231e-89,"Low","FAM107B"
"SON",1.15367594897986e-92,0.847120032929699,0.617,0.586,2.40045354704239e-88,"Low","SON"
"AKNA",2.30110713134015e-92,1.87252853471332,0.346,0.213,4.78791360817946e-88,"Low","AKNA"
"MAFF",1.89067170591201e-91,1.58347620621964,0.426,0.318,3.93392061849111e-87,"Low","MAFF"
"TLE4",3.25626367550764e-91,1.11239341046117,0.535,0.471,6.77530782962874e-87,"Low","TLE4"
"GABARAPL1",3.38763027913783e-91,1.14808778315655,0.534,0.463,7.04864232180209e-87,"Low","GABARAPL1"
"SELENOW",8.90437328979075e-91,0.925188083158743,0.526,0.459,1.85273295040676e-86,"Low","SELENOW"
"SERBP1",3.36562038734439e-89,1.00817634854446,0.535,0.494,7.00284633994748e-85,"Low","SERBP1"
"RGS1",6.30058967626061e-89,0.812117673006837,0.621,0.517,1.31096369393954e-84,"Low","RGS1"
"HNRNPH1",6.44928399285189e-89,0.900672605767494,0.605,0.585,1.34190252039269e-84,"Low","HNRNPH1"
"AAK1",3.2694052728115e-88,1.73053719856671,0.32,0.184,6.80265155113888e-84,"Low","AAK1"
"WIPF1",1.64692501594547e-87,1.22905617767708,0.468,0.385,3.42675688067773e-83,"Low","WIPF1"
"RPL35",1.87772941761466e-86,0.325321897222702,0.914,0.904,3.90699159923082e-82,"Low","RPL35"
"LY6E",2.14483830251763e-86,0.578619560778385,0.701,0.665,4.46276505604843e-82,"Low","LY6E"
"HINT1",2.88882670505421e-86,0.421940201784514,0.74,0.729,6.0107817252063e-82,"Low","HINT1"
"POLR2K",3.68318118790039e-85,1.32871091432771,0.435,0.352,7.66359509766434e-81,"Low","POLR2K"
"SELENOK",4.90086477687102e-85,0.614336110965758,0.732,0.741,1.01972293412355e-80,"Low","SELENOK"
"XAF1",1.92902673050333e-84,1.73766864076648,0.329,0.198,4.01372591815828e-80,"Low","XAF1"
"TCF7",2.21274466147309e-84,2.28360393204337,0.255,0.117,4.60405781712707e-80,"Low","TCF7"
"PSME1",2.38791944712109e-84,0.51223824147632,0.76,0.727,4.96854399362485e-80,"Low","PSME1"
"NSMCE3",2.82285320107967e-83,1.68800235016991,0.361,0.244,5.87351065548646e-79,"Low","NSMCE3"
"FOSB",6.33012297128334e-83,0.549541745974917,0.817,0.763,1.31710868663492e-78,"Low","FOSB"
"BIRC2",7.64375740483407e-83,1.54467232474596,0.372,0.261,1.59043660322383e-78,"Low","BIRC2"
"CCDC107",9.66919731511258e-83,1.68226230818943,0.356,0.242,2.01186988535548e-78,"Low","CCDC107"
"NXT1",3.90222205432822e-82,1.6935746441961,0.369,0.262,8.11935342844073e-78,"Low","NXT1"
"TBCC",5.31626320036324e-82,2.20425617119919,0.29,0.163,1.10615488409958e-77,"Low","TBCC"
"ANXA1",5.59127113293413e-82,1.01016956145429,0.702,0.604,1.1633757846296e-77,"Low","ANXA1"
"HNRNPK",1.19308862021563e-81,0.743471469475198,0.633,0.613,2.48245949208266e-77,"Low","HNRNPK"
"SP100",2.32415071804323e-81,1.31804575947932,0.425,0.339,4.83586039903255e-77,"Low","SP100"
"FAM133B",6.92797814433527e-81,0.972953700545572,0.568,0.539,1.44150441249184e-76,"Low","FAM133B"
"MAPRE2",2.03698694157432e-80,1.77259612646875,0.333,0.213,4.23835872933368e-76,"Low","MAPRE2"
"OPTN",2.58176117743503e-80,1.7989343920854,0.302,0.174,5.37187048188908e-76,"Low","OPTN"
"GNPTAB",3.94410149704979e-80,1.888621941316,0.295,0.167,8.2064919849115e-76,"Low","GNPTAB"
"SEPT1",3.61629973110082e-79,2.16365643851034,0.268,0.139,7.52443485050148e-75,"Low","SEPT1"
"TENT5C",3.62325406865392e-79,1.36119628411539,0.398,0.287,7.53890474064822e-75,"Low","TENT5C"
"CUTA",3.97445316714228e-79,1.05386273586477,0.518,0.491,8.26964470487294e-75,"Low","CUTA"
"CCL3",1.9630321624763e-78,1.05670985561,0.605,0.49,4.08448102046444e-74,"Low","CCL3"
"BTF3",2.38038285893922e-78,0.364499009595402,0.861,0.789,4.95286261459483e-74,"Low","BTF3"
"AHSA1",3.11045394381604e-78,1.67388548941581,0.384,0.281,6.47192152089804e-74,"Low","AHSA1"
"BTN3A2",1.70228341019091e-77,1.71025547668159,0.354,0.247,3.54194109158423e-73,"Low","BTN3A2"
"ORAI1",1.89690760411547e-77,2.04550169100725,0.293,0.172,3.94689565188306e-73,"Low","ORAI1"
"RPL22",3.36480817492262e-77,0.293124704964067,0.938,0.873,7.0011563695615e-73,"Low","RPL22"
"DNTTIP2",5.49733718770264e-77,1.43714478286214,0.413,0.327,1.14383094864529e-72,"Low","DNTTIP2"
"TRIR",1.14176441790832e-76,0.665102166835621,0.631,0.619,2.37566922434185e-72,"Low","TRIR"
"SRRM2",1.27775997764581e-76,0.541727361366652,0.72,0.705,2.65863518548764e-72,"Low","SRRM2"
"ACTN4",1.83550932442788e-76,1.43666361140279,0.399,0.305,3.81914425133709e-72,"Low","ACTN4"
"MYL12A",2.45980037215529e-76,0.553384460190422,0.79,0.705,5.11810663434352e-72,"Low","MYL12A"
"SAP18",3.83509430465106e-76,0.633125064719177,0.662,0.666,7.97968071968747e-72,"Low","SAP18"
"KRT10",2.11694409044622e-75,1.05866400796003,0.486,0.445,4.40472556899145e-71,"Low","KRT10"
"BIN1",2.12728012629683e-75,1.67292156320279,0.295,0.168,4.42623175878582e-71,"Low","BIN1"
"IFI16",4.17953385551967e-75,1.25507198126504,0.422,0.337,8.69635609317978e-71,"Low","IFI16"
"DGKZ",1.82675208144837e-74,2.06921725032494,0.26,0.136,3.80092305586962e-70,"Low","DGKZ"
"CCDC85B",4.29238302475489e-74,1.23214553410137,0.462,0.408,8.93116135960749e-70,"Low","CCDC85B"
"HIPK1",1.16788326281251e-73,1.62052418486877,0.344,0.234,2.43001470493399e-69,"Low","HIPK1"
"DDX6",1.25510379131443e-73,1.21565511619859,0.446,0.375,2.61149445858793e-69,"Low","DDX6"
"MT-ND5",1.49866833349601e-73,0.302734075960327,0.913,0.84,3.11827920150514e-69,"Low","MT-ND5"
"EIF3G",3.14942593642575e-73,0.842997452763512,0.577,0.579,6.55301054592106e-69,"Low","EIF3G"
"NFKB1",4.12932206612739e-73,1.19155312867816,0.475,0.396,8.59188042299127e-69,"Low","NFKB1"
"AC058791.1",5.93897793429349e-73,1.55429806555782,0.4,0.308,1.23572313878845e-68,"Low","AC058791.1"
"PTP4A1",3.23048742058242e-72,1.27157029397405,0.435,0.366,6.72167517600583e-68,"Low","PTP4A1"
"ODF2L",6.44044374474652e-72,1.88184123440758,0.293,0.175,1.34006312996941e-67,"Low","ODF2L"
"ARHGEF1",2.6737831010966e-71,1.40625224588451,0.395,0.312,5.5633404984517e-67,"Low","ARHGEF1"
"RALGAPA1",3.44168616757929e-71,2.11174476896523,0.257,0.137,7.16111640888224e-67,"Low","RALGAPA1"
"RPL26",2.47256217826723e-70,0.29291640985134,0.983,0.902,5.14466012432062e-66,"Low","RPL26"
"BUD31",2.85953301568162e-69,1.13042483987461,0.451,0.401,5.94983034572875e-65,"Low","BUD31"
"TIPARP",7.04025558498199e-69,1.38868932371493,0.404,0.321,1.4648659795672e-64,"Low","TIPARP"
"UBE2D2",2.25332237457348e-68,0.90648446568502,0.536,0.528,4.68848786477504e-64,"Low","UBE2D2"
"SBDS",2.58245722016543e-68,1.1886654674466,0.458,0.411,5.3733187379982e-64,"Low","SBDS"
"YPEL3",4.0004184081958e-68,1.33259306971425,0.406,0.332,8.32367058193299e-64,"Low","YPEL3"
"H2AFZ",7.10933300590618e-68,0.702096506948512,0.678,0.69,1.4792389185389e-63,"Low","H2AFZ"
"TXNIP",1.1590169521965e-67,1.37432468355964,0.632,0.61,2.41156657243525e-63,"Low","TXNIP"
"ATP5IF1",1.72245108479399e-67,0.974241681581793,0.505,0.489,3.58390397213085e-63,"Low","ATP5IF1"
"CCL4L2",3.62107938813741e-67,1.35314552815525,0.477,0.369,7.53437988289751e-63,"Low","CCL4L2"
"STOM",1.87083771781293e-66,0.994138012932043,0.268,0.146,3.89265203945337e-62,"Low","STOM"
"ARHGDIB",2.11096825955649e-66,0.406521497856708,0.807,0.685,4.39229165765918e-62,"Low","ARHGDIB"
"ANP32E",3.84402802379255e-66,1.83002836170785,0.301,0.196,7.99826910910516e-62,"Low","ANP32E"
"RPS23",4.89629431105488e-66,0.217316686179418,0.989,0.943,1.01877195730119e-61,"Low","RPS23"
"EEF1B2",8.75232058649308e-66,0.290760368316519,0.882,0.848,1.82109534443162e-61,"Low","EEF1B2"
"ZBTB1",1.88118962407822e-65,1.68709083735473,0.351,0.263,3.91419125081956e-61,"Low","ZBTB1"
"ANAPC16",2.8693965030828e-65,0.94353767543234,0.51,0.505,5.97035330396439e-61,"Low","ANAPC16"
"LAT2",4.90035862689856e-65,1.95255301968927,0.289,0.183,1.01961761949878e-60,"Low","LAT2"
"SLC15A4",6.27918936863488e-65,1.79436728058866,0.272,0.156,1.30651093193186e-60,"Low","SLC15A4"
"YWHAQ",1.5170616961095e-64,0.896194709731287,0.533,0.528,3.15655027109503e-60,"Low","YWHAQ"
"ISCA1",2.94524867003883e-64,1.66867142340662,0.329,0.236,6.12817890774978e-60,"Low","ISCA1"
"RNF213",8.11545662592959e-64,0.830882822953813,0.469,0.397,1.68858306015717e-59,"Low","RNF213"
"KDM6B",1.42638483186166e-63,0.78113239966604,0.58,0.501,2.96787891965456e-59,"Low","KDM6B"
"SNHG8",1.88767207115061e-63,0.984732548966059,0.528,0.513,3.92767927844307e-59,"Low","SNHG8"
"SNHG9",2.22618677590548e-63,1.6096839099057,0.348,0.261,4.63202682462652e-59,"Low","SNHG9"
"GPR65",2.71977643904927e-63,1.18640487802101,0.351,0.245,5.65903883672982e-59,"Low","GPR65"
"SLTM",1.21292938536762e-62,1.29599489497342,0.401,0.331,2.5237421721344e-58,"Low","SLTM"
"MBNL1",1.34796954003742e-62,0.85773422821247,0.525,0.476,2.80472022195587e-58,"Low","MBNL1"
"TCF25",1.74649622067602e-61,0.715391809524911,0.611,0.632,3.63393468636059e-57,"Low","TCF25"
"SYAP1",3.69689553228757e-61,1.00252150250635,0.487,0.433,7.69213053403076e-57,"Low","SYAP1"
"C1orf56",4.45898271704739e-61,1.6218504956025,0.321,0.22,9.27780533936049e-57,"Low","C1orf56"
"ENSA",4.65832917158736e-61,0.84608002842347,0.508,0.481,9.69258550732181e-57,"Low","ENSA"
"SRSF10",9.18311298405282e-61,1.22078709889747,0.411,0.35,1.91073031859187e-56,"Low","SRSF10"
"SF3B5",3.94940582432276e-60,0.825614141069108,0.535,0.544,8.21752869866837e-56,"Low","SF3B5"
"DDIT3",7.93121043648108e-60,1.09338029933866,0.488,0.445,1.65024695551862e-55,"Low","DDIT3"
"PRR7",4.62058115176504e-59,1.79450497627363,0.291,0.191,9.61404320247751e-55,"Low","PRR7"
"DUSP4",8.22428577774985e-59,2.0193603576499,0.253,0.139,1.71122714177641e-54,"Low","DUSP4"
"SNRPD2",1.22570921626867e-58,0.797195861594909,0.537,0.533,2.55033316629023e-54,"Low","SNRPD2"
"LRRC59",1.60086638712794e-58,0.00544109739983178,0.137,0.273,3.33092269169709e-54,"Low","LRRC59"
"PCSK7",1.89959789274635e-58,1.53422998348937,0.355,0.271,3.95249333543734e-54,"Low","PCSK7"
"BTG3",7.6582773457237e-58,1.72628462644149,0.343,0.265,1.59345776732473e-53,"Low","BTG3"
"EIF1AX",9.79127258961906e-58,1.12207800856448,0.449,0.411,2.03727008772204e-53,"Low","EIF1AX"
"PBXIP1",1.42950374677208e-57,1.93255023294368,0.254,0.151,2.97436844590867e-53,"Low","PBXIP1"
"CHORDC1",3.20168641068217e-57,1.32259124193696,0.386,0.312,6.66174891470639e-53,"Low","CHORDC1"
"GLS",3.98750853096831e-57,1.18897601020446,0.401,0.333,8.29680900038575e-53,"Low","GLS"
"RBM25",9.15890669000756e-57,0.843664630944498,0.533,0.523,1.90569371498987e-52,"Low","RBM25"
"DHRS7",1.04425460374292e-56,1.0845829708587,0.451,0.414,2.17278055400789e-52,"Low","DHRS7"
"CNOT2",1.60555288063084e-56,1.49715966653864,0.365,0.296,3.34067387872858e-52,"Low","CNOT2"
"CHD4",1.84875702153503e-56,1.47099535218133,0.345,0.263,3.84670873470793e-52,"Low","CHD4"
"CFL1",2.02390325989518e-56,0.324988357333827,0.926,0.795,4.2111355128639e-52,"Low","CFL1"
"TMX4",2.31004591349709e-56,1.60899588052815,0.317,0.228,4.80651253221339e-52,"Low","TMX4"
"WHAMM",4.01633424082882e-56,1.78700336459838,0.275,0.177,8.35678665489252e-52,"Low","WHAMM"
"MT-CO1",6.60791659811167e-56,0.268833059912836,0.998,0.959,1.3749092065691e-51,"Low","MT-CO1"
"HIST1H4C",1.46671478642719e-55,1.46805874837911,0.317,0.226,3.05179345611906e-51,"Low","HIST1H4C"
"MBP",5.33430293574341e-55,1.33817609457348,0.363,0.284,1.10990841184013e-50,"Low","MBP"
"CCT4",1.20299040238429e-54,1.20177598451002,0.445,0.416,2.50306213024099e-50,"Low","CCT4"
"SUB1",1.84833829972486e-54,0.34433152953599,0.742,0.771,3.84583750023752e-50,"Low","SUB1"
"FNBP1",2.93902301936595e-54,0.940052288981241,0.475,0.447,6.11522519639474e-50,"Low","FNBP1"
"RHOF",3.77866417039157e-54,1.33550231264842,0.372,0.302,7.86226653933375e-50,"Low","RHOF"
"CDK13",4.12069190216107e-54,1.56663462310146,0.306,0.218,8.57392364082653e-50,"Low","CDK13"
"NAP1L4",5.08358781656554e-54,1.56680701843159,0.31,0.222,1.05774211699279e-49,"Low","NAP1L4"
"CIB1",1.28938929028388e-53,0.765085740544018,0.529,0.511,2.68283229629366e-49,"Low","CIB1"
"RPS8",1.34532799178788e-53,0.232803757677187,0.985,0.94,2.79922395251303e-49,"Low","RPS8"
"SRSF11",1.60493207756102e-53,0.917707811399469,0.485,0.461,3.33938217378122e-49,"Low","SRSF11"
"HSPH1",5.48725720606088e-53,1.02322225353258,0.557,0.54,1.14173360686509e-48,"Low","HSPH1"
"RACK1",6.42430119011565e-53,0.27976859999144,0.949,0.879,1.33670434862736e-48,"Low","RACK1"
"HNRNPUL1",1.70374310840011e-52,1.34302851517877,0.377,0.316,3.54497828564812e-48,"Low","HNRNPUL1"
"RBMX",1.82852872576177e-52,1.09930510514248,0.42,0.377,3.80461971969251e-48,"Low","RBMX"
"CLDND1",2.09124835284901e-52,1.80638844994705,0.268,0.175,4.35126044777293e-48,"Low","CLDND1"
"PPDPF",2.12761454204447e-52,0.612458753883318,0.588,0.603,4.42692757763194e-48,"Low","PPDPF"
"KLF6",4.08501595021892e-52,0.288914477247967,0.917,0.807,8.49969268762051e-48,"Low","KLF6"
"UBE2D3",1.95345547743775e-51,0.46689415679059,0.686,0.676,4.06455481190473e-47,"Low","UBE2D3"
"EMD",8.79069455668252e-51,1.33637191264191,0.378,0.327,1.82907981640893e-46,"Low","EMD"
"BUB3",2.18956296792208e-50,1.55277188165013,0.297,0.215,4.55582366735547e-46,"Low","BUB3"
"ANXA6",2.29999888667402e-50,1.56595311823039,0.284,0.198,4.78560768350264e-46,"Low","ANXA6"
"TAPBP",2.95472307763715e-50,0.869980263888825,0.517,0.536,6.14789230763963e-46,"Low","TAPBP"
"ANKRD12",1.12920662771104e-49,0.981413846122593,0.489,0.481,2.34954023027835e-45,"Low","ANKRD12"
"AC020916.1",1.95961752963335e-49,0.949418927534433,0.52,0.471,4.0773761939081e-45,"Low","AC020916.1"
"C9orf78",2.50485161450952e-49,1.1128524874004,0.425,0.389,5.21184475430995e-45,"Low","C9orf78"
"RNF168",1.05555079131279e-48,1.62104388744469,0.289,0.205,2.19628453148452e-44,"Low","RNF168"
"GUK1",1.91602507392151e-48,0.447289208487263,0.661,0.705,3.98667337130848e-44,"Low","GUK1"
"SUN2",3.12823171666797e-48,1.52401711293491,0.321,0.248,6.50891173287104e-44,"Low","SUN2"
"HNRNPAB",6.23261332140371e-48,1.11770945048807,0.403,0.36,1.29681985378447e-43,"Low","HNRNPAB"
"EZR",2.71473423617569e-47,0.441051926487501,0.662,0.661,5.64854752521075e-43,"Low","EZR"
"NDUFS5",8.83516041815371e-47,0.635039649777775,0.582,0.619,1.83833182820524e-42,"Low","NDUFS5"
"TAF1D",9.31954406835368e-47,0.801204664279937,0.51,0.512,1.93911753430235e-42,"Low","TAF1D"
"ILF3-DT",1.23283647277962e-46,1.69877619911282,0.296,0.217,2.56516284891255e-42,"Low","ILF3-DT"
"MYADM",3.20280614545354e-46,0.660381976772375,0.626,0.62,6.66407874684518e-42,"Low","MYADM"
"MOB4",4.05263967077849e-46,1.56237322241069,0.271,0.188,8.43232736298881e-42,"Low","MOB4"
"AOAH",4.79399540415064e-46,1.31356925323747,0.269,0.182,9.97486623741624e-42,"Low","AOAH"
"EIF4A3",5.51613038836878e-46,0.641980278911195,0.452,0.396,1.14774124990789e-41,"Low","EIF4A3"
"SUMO2",7.68652020301625e-46,0.321930335642456,0.739,0.721,1.59933425864159e-41,"Low","SUMO2"
"IKZF1",1.97390572085203e-45,1.35320067067997,0.346,0.278,4.10710563337681e-41,"Low","IKZF1"
"FXYD5",2.55385965393753e-45,0.578362515117575,0.664,0.651,5.31381578194782e-41,"Low","FXYD5"
"RAB5IF",2.88507443222418e-45,1.18685851628768,0.383,0.343,6.00297437112885e-41,"Low","RAB5IF"
"CEBPZ",4.17306853425255e-45,1.67047878590936,0.266,0.183,8.68290369921929e-41,"Low","CEBPZ"
"PLAC8",5.60120124040572e-45,0.397265598982835,0.405,0.31,1.16544194209122e-40,"Low","PLAC8"
"CCL3L1",1.07714211958444e-44,0.753796677404432,0.39,0.287,2.24120960821934e-40,"Low","CCL3L1"
"NSD3",1.08349278647221e-44,1.27620093786936,0.374,0.326,2.25442344081274e-40,"Low","NSD3"
"CD48",1.25829371191916e-44,0.365896137017274,0.708,0.589,2.6181317263902e-40,"Low","CD48"
"NOP58",1.65086328066487e-44,1.3286603693134,0.329,0.254,3.43495122807939e-40,"Low","NOP58"
"MED10",2.92593720155377e-44,1.13920390078915,0.391,0.354,6.08799753527292e-40,"Low","MED10"
"CDC42",3.02676298193875e-44,0.331544719184701,0.804,0.72,6.29778573651995e-40,"Low","CDC42"
"RPL7",3.22764080526728e-44,0.268767842986021,0.874,0.828,6.71575222351963e-40,"Low","RPL7"
"SF3B2",4.11717137372357e-44,1.00983161423725,0.442,0.428,8.56659847730663e-40,"Low","SF3B2"
