"id","HR","HR.95L","HR.95H","pvalue"
"Age","1.01","1","1.03","0.125329981128553"
"Gender","0.79","0.55","1.15","0.220902258255812"
"Stage","1.64","1.34","2.01","1.73361423773601e-06"
"RS","2.98","2.06","4.33","8.83574688591132e-09"
