"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Change"
"NFATC2IP",0.342309380228815,3.15264555494456,5.19241474465823,3.2567627909439e-07,1.17639954452785e-06,5.59829695004584,"NOT"
"TRMT10A",-0.371257634322751,2.11631915882566,-5.19239087748349,3.25715493535427e-07,1.17639954452785e-06,5.59818070651416,"NOT"
"HAPLN3",0.659605220653359,1.44496708179993,5.19030656395585,3.29157781451664e-07,1.18857849337251e-06,5.58803100105168,"UP"
"C1QL1",1.45025209713628,2.18760680911879,5.18988057061596,3.29865643734596e-07,1.19088042620719e-06,5.58595703795473,"UP"
"ZNF684",-0.609207737671239,2.6532196063971,-5.18925514191995,3.30907575539164e-07,1.1943871769834e-06,5.58291238776298,"DOWN"
"PHKG1",0.26308828048144,0.59342040259144,5.18915154788283,3.31080465367712e-07,1.19475635625657e-06,5.58240811259959,"NOT"
"PKP2",-0.709939240949234,3.17359461405698,-5.18661329290881,3.35344048207246e-07,1.20988414492853e-06,5.57005515344227,"DOWN"
"STOM",-0.740472242781032,7.71412902065432,-5.18568246938938,3.36920871522582e-07,1.21531401983236e-06,5.56552643197999,"DOWN"
"RASA2",-0.302372068507964,2.10821103913726,-5.18431606351003,3.3924859383405e-07,1.22344958573443e-06,5.55887977104942,"NOT"
"SMAD2",0.239421549860332,1.97884891170426,5.18313120534967,3.41279648989036e-07,1.23051202653814e-06,5.55311746475247,"NOT"
"TRAPPC11",-0.367213743735939,3.27265834919867,-5.18291885810244,3.41644892140436e-07,1.23156651468008e-06,5.55208488117306,"NOT"
"LSM7",0.513598427318564,5.38008460082149,5.18253257302294,3.42310284418885e-07,1.23370230514419e-06,5.55020658320367,"UP"
"TNFRSF10B",-0.546828595078414,4.60197043349852,-5.18180696131631,3.43563576755904e-07,1.23795555414963e-06,5.54667865348129,"DOWN"
"ERMAP",-0.44573288050608,2.18127994719587,-5.18145393211818,3.44174942841324e-07,1.23989444492613e-06,5.54496237965956,"NOT"
"IGFBP1",-1.65692232949799,9.079949194306,-5.18046320529261,3.45896290169658e-07,1.24583038015342e-06,5.54014644685718,"DOWN"
"ACY3",-1.05149976839592,4.92388605022297,-5.17984226182996,3.46979402538453e-07,1.24946551827052e-06,5.53712844690418,"DOWN"
"ATP6V1H",0.442870429382765,4.06954651380631,5.17883428461177,3.48744617444251e-07,1.25552171481587e-06,5.53223000555608,"NOT"
"SPDYC",-0.954556750897757,2.26373121240062,-5.17879726107537,3.48809620078565e-07,1.25552171481587e-06,5.53205009915572,"DOWN"
"ZNF85",0.370415156976348,0.688301333854379,5.17771924616834,3.50707457367369e-07,1.26208440793561e-06,5.52681225689168,"NOT"
"SCN4B",0.46155700335168,1.02135268737972,5.17764377265579,3.50840701948469e-07,1.26229545347014e-06,5.52644558322228,"NOT"
"FEM1C",-0.434794076954827,3.65464779909019,-5.17614721922982,3.53492939065586e-07,1.27156760670255e-06,5.51917583326509,"NOT"
"TMEM258",0.458620798079597,5.06283203383442,5.17566735123025,3.54347480395771e-07,1.27437060909178e-06,5.51684518781683,"NOT"
"SSX1",1.88969472394384,1.71168212453477,5.17546731439824,3.54704293465112e-07,1.27538277724674e-06,5.51587369558479,"UP"
"GTPBP10",-0.341833850214772,2.27702222714974,-5.1741578868957,3.570485780981e-07,1.2835391948158e-06,5.50951518812225,"NOT"
"TET2",-0.270503015833988,1.10217901724803,-5.17387268903134,3.57561158239333e-07,1.2851088272234e-06,5.50813047053156,"NOT"
"MYCN",0.851606207774574,0.964409257047398,5.17372423434641,3.57828254745144e-07,1.28579568879647e-06,5.50740970690971,"UP"
"NCALD",-0.739178011079526,2.32477875873377,-5.17324812238117,3.58686169739907e-07,1.28860481489787e-06,5.50509825417254,"DOWN"
"DAPK3",0.422588976465272,4.7049120767855,5.17065849211749,3.63387476541367e-07,1.30521746774707e-06,5.49252925740526,"NOT"
"CNIH2",0.399454556918359,0.640275833251971,5.16961880445146,3.65291706719621e-07,1.31177864376119e-06,5.48748459813114,"NOT"
"ARFIP2",0.348627077173134,4.34309239012221,5.16902097873108,3.66391021714623e-07,1.31544716283326e-06,5.48458429690975,"NOT"
"DDX51",0.353886837690588,3.00695018172431,5.16889312023064,3.66626550608842e-07,1.31601354748668e-06,5.4839640404028,"NOT"
"ZNF280C",0.290589552715843,1.12963443416346,5.16756078113704,3.69089602826384e-07,1.32457373688765e-06,5.47750151020479,"NOT"
"IMP3",-0.395059429709572,4.34412489682221,-5.16744703243072,3.69300627391781e-07,1.32505002461754e-06,5.47694983827787,"NOT"
"ZNF724",0.150911011131012,0.226238921005786,5.16667094442425,3.70743533845216e-07,1.32968940079149e-06,5.47318615968638,"NOT"
"SELENOI",-0.423415421830951,3.98675372158955,-5.16663046685066,3.70818939573668e-07,1.32968940079149e-06,5.47298987524827,"NOT"
"CR589904.2",0.702660310065794,0.643144748006907,5.16662485219769,3.70829400291651e-07,1.32968940079149e-06,5.47296264869818,"UP"
"DUSP18",0.202493187935061,0.690149874782141,5.166544395631,3.70979331149586e-07,1.32994518270808e-06,5.4725725019311,"NOT"
"RNF185",-0.372008360201205,4.90505331058014,-5.16628458956876,3.71463880917491e-07,1.33140019678137e-06,5.47131269721799,"NOT"
"TRIM44",-0.312475339229649,3.63020889888788,-5.1654904570782,3.72948776560785e-07,1.33643927322851e-06,5.46746227831896,"NOT"
"DYRK2",0.420056620025629,2.30720903346383,5.1646916156637,3.74448276809893e-07,1.34152853946648e-06,5.46358955265535,"NOT"
"IPPK",-0.260429299724836,0.760739662181464,-5.16322811789863,3.77210561621242e-07,1.3511388469926e-06,5.45649598654461,"NOT"
"MRPL13",0.537747638089355,4.71820962462547,5.16201587616411,3.79513547331834e-07,1.35910026124909e-06,5.45062159516425,"UP"
"CRAT",-0.50911455408485,6.51028141630981,-5.16118311019093,3.81103499278954e-07,1.36450535575522e-06,5.44658680455899,"DOWN"
"DNMT3L",-0.48084472637437,0.559267166858183,-5.16054714643493,3.82322050760992e-07,1.3685786801199e-06,5.44350591539323,"NOT"
"ZSCAN29",0.284947312548919,2.49306213146442,5.16035742951768,3.82686291945188e-07,1.36959279737828e-06,5.44258690753077,"NOT"
"PHB",0.36849582060911,5.06926730302358,5.15835752218601,3.86546455146961e-07,1.38311536636535e-06,5.43290096180114,"NOT"
"NCOA5",0.351834916104976,4.22394315722899,5.15782264943924,3.87585225813594e-07,1.38653902875092e-06,5.43031102703774,"NOT"
"METTL23",0.458085235798381,4.27632998414946,5.15769982686208,3.8782413963276e-07,1.38710045798477e-06,5.42971633487261,"NOT"
"CEP350",0.362873403231783,2.82966140475774,5.15756621738328,3.88084198041268e-07,1.3877372601556e-06,5.42906942796474,"NOT"
"CHST9",-0.89276607482075,1.64041551714899,-5.15423780763786,3.94617416962512e-07,1.41080103790887e-06,5.41295877580269,"DOWN"
"IKBKE",0.690629898276114,2.05358231144487,5.15393108396582,3.95224805931282e-07,1.41267404756299e-06,5.41147458756472,"UP"
"NCDN",0.438492893169384,2.97546104555762,5.15373717080621,3.95609269113219e-07,1.41374961830302e-06,5.41053631195971,"NOT"
"DNAJC15",-0.607594314938855,3.27443865424403,-5.15213720588869,3.98795302493149e-07,1.42483431450308e-06,5.40279584557603,"DOWN"
"PHYH",-0.854651947860625,7.4764577906223,-5.15179615643088,3.99477644918272e-07,1.42697091612035e-06,5.40114615652604,"DOWN"
"MECOM",0.487678619159904,1.26415542737255,5.15143915567454,4.00193112452109e-07,1.42922491680079e-06,5.39941941239734,"NOT"
"SRRT",0.312146500497406,5.2821994234187,5.15070646930124,4.01665382830043e-07,1.43396187894181e-06,5.39587587869694,"NOT"
"BAP1",0.419680772097385,5.31698848442246,5.15067068658312,4.01737419303676e-07,1.43396187894181e-06,5.39570283201071,"NOT"
"CCDC183",0.372630767643151,0.628358642142633,5.15065265281253,4.01773728979558e-07,1.43396187894181e-06,5.39561562036038,"NOT"
"TXNDC11",-0.388783781578287,5.52076570005662,-5.15014987245186,4.02787320774181e-07,1.43727630848163e-06,5.39318427329519,"NOT"
"MTMR6",-0.379393642701363,3.20435229436619,-5.14925564241032,4.0459618654901e-07,1.44309831883142e-06,5.3888604683001,"NOT"
"SLC35B1",0.34984435316108,4.97023851929505,5.14923887368576,4.04630181674269e-07,1.44309831883142e-06,5.38877939402303,"NOT"
"FGFBP2",-0.459567159529983,0.84095390165626,-5.14921688932452,4.04674754615868e-07,1.44309831883142e-06,5.38867310327393,"NOT"
"DENND5A",0.35527764468601,3.39864737248589,5.14795050796951,4.07250363666634e-07,1.45197711833188e-06,5.3825510327148,"NOT"
"PDE7A",0.3769581450964,1.6217315681533,5.14782906464003,4.07498191679319e-07,1.45255464533511e-06,5.38196400852519,"NOT"
"FAM81A",0.354906995699101,0.480861954707426,5.14759367737875,4.07978959689255e-07,1.45396208443595e-06,5.3808262448927,"NOT"
"LUC7L2",0.275662509546505,3.09288482939598,5.14750764261809,4.08154818890083e-07,1.4542825206231e-06,5.38041040024161,"NOT"
"UHRF1BP1L",-0.443031246326834,3.40101637247976,-5.14724681637568,4.08688409020853e-07,1.45587717242987e-06,5.3791497471944,"NOT"
"SMC4",0.70645298526832,2.24089149794949,5.14675535829831,4.09695654607928e-07,1.45915810810793e-06,5.37677453260521,"UP"
"TIMM50",0.397550056060463,4.35067711898599,5.14587566459829,4.11504596391282e-07,1.46501847903168e-06,5.37252347524949,"NOT"
"PRND",0.443402131861656,0.438401009163002,5.14587097414807,4.11514262208947e-07,1.46501847903168e-06,5.37250081069514,"NOT"
"INO80B",0.181148453169026,0.358118701843009,5.1456096979686,4.12053032907405e-07,1.46662797009386e-06,5.37123833624781,"NOT"
"CHCHD3",0.393284169620842,4.63327591616179,5.14553704234271,4.12202975489491e-07,1.46685311214673e-06,5.37088727763632,"NOT"
"PAPSS1",0.47162077668924,3.78000888051928,5.14473639707197,4.13858805046248e-07,1.47243583687712e-06,5.36701899586576,"NOT"
"SYT7",-1.41946794565515,4.00528630928401,-5.14399733096492,4.1539299704987e-07,1.47758354069389e-06,5.36344870112662,"DOWN"
"ENDOD1",-0.738649474777112,2.65481014678992,-5.14369886695114,4.160141240212e-07,1.47948192361554e-06,5.36200700335992,"DOWN"
"RTF2",0.270096796986552,5.10196940402139,5.14349711717697,4.16434490399955e-07,1.48066568860215e-06,5.36103251483709,"NOT"
"LMF2",0.383203949404356,6.34159527483362,5.14281407649889,4.17860731447356e-07,1.48542467160099e-06,5.35773355237867,"NOT"
"SETD7",-0.558469380309012,3.91808660630711,-5.14257755921038,4.18355699167624e-07,1.48687183062704e-06,5.35659130667092,"DOWN"
"KRT19",-1.80820675016607,2.47386314012172,-5.14174947081417,4.20093145083365e-07,1.49273332800412e-06,5.35259246888496,"DOWN"
"SLC4A1AP",0.224284530986122,3.51582871483914,5.14163413682721,4.20335685635989e-07,1.49328157393377e-06,5.35203556616773,"NOT"
"ACIN1",0.296395476288161,4.49397212536872,5.14137033357259,4.20890958132812e-07,1.49494036577777e-06,5.35076180474595,"NOT"
"LINGO1",0.870523911530768,1.50068708446799,5.14106879374169,4.21526531289844e-07,1.49688361719947e-06,5.34930590450318,"UP"
"PROX1",-0.73745351030822,5.20161258876934,-5.14089495346066,4.218933668336e-07,1.49787193877284e-06,5.34846659975774,"DOWN"
"RAB41",0.318672110927534,0.785871800556545,5.14026724469705,4.23220524797305e-07,1.50226861759916e-06,5.34543621577406,"NOT"
"ARL2",0.705299287777251,3.88722947525564,5.13896699016008,4.25982510603095e-07,1.51175546600566e-06,5.3391600244512,"UP"
"GPR21",0.116922803951424,0.12838497212483,5.13862645987821,4.26708740136405e-07,1.51401522160791e-06,5.33751655163945,"NOT"
"MORC3",-0.420139434024317,2.9074336730804,-5.13829281401288,4.27421450263937e-07,1.51622607126123e-06,5.33590639746883,"NOT"
"ZNF550",0.44953255348908,1.53660675888908,5.13822709135189,4.27561978069921e-07,1.51640667175039e-06,5.33558923484664,"NOT"
"TMEM30B",-0.88704827704433,3.21893754215938,-5.13810228877642,4.27828953341006e-07,1.5170355656922e-06,5.33498697581377,"DOWN"
"MFF",0.317492944248927,4.18123717661515,5.13691447510976,4.30377993279625e-07,1.52575445721444e-06,5.32925559496984,"NOT"
"INSIG2",-0.630368696200089,4.57666626243706,-5.13477209634278,4.35012750576199e-07,1.54186232771258e-06,5.31892124181131,"DOWN"
"TRUB2",-0.430824528296359,4.28339613791336,-5.13348938709097,4.37810814337276e-07,1.55145482500545e-06,5.31273555707328,"NOT"
"QSOX2",0.414045438817079,3.29390432215102,5.13299434392607,4.38895340206853e-07,1.55497237262147e-06,5.31034864494844,"NOT"
"TRABD2B",-0.699117067191012,1.45898720008321,-5.1325258008528,4.39924206084529e-07,1.5582912897543e-06,5.30808969296488,"DOWN"
"KCNK3",-0.309081343325099,0.321841386097579,-5.13232832958316,4.40358529051409e-07,1.55950327963141e-06,5.30713769374777,"NOT"
