B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
C11orf80	2.11443760285863	2.09314356479536	2.2006406932036	2.02234969231998	1.96822752972909	2.02011391113477	2.0083106900684	2.00696883883851	1.96883047651273	2.01480844155225	1.97758121719481	2.00962382011181	1.96155591723183	1.97644035973495	1.85615691637528	1.9646862422921	1.98072725382845	2.01017338818618	2.01375368665834	2.01083213842801	2.0193027854763	1.97871847775256
C1orf54	1.88040853801059	1.88784731032678	1.98905570488261	2.05650039403109	2.07081690081496	2.06966915216847	1.98625009605274	1.96336091478756	1.90540755130556	1.99902735106523	2.02238999352969	1.94497621931926	2.09337491646441	2.17628335877392	2.1643474528842	2.19662863930778	2.24024930841446	2.1631520747125	2.06663775754955	2.07408064766824	2.09825231875219	1.90070342083316
C3AR1	2.00294687389771	1.97478121927255	2.05375571815362	2.04734179203241	1.97766210181964	2.03944830567297	1.98558438042051	1.98673623662297	2.11305572336196	2.12976794253505	2.13767066206586	2.10630251584254	2.17287852836477	2.14146762676503	2.23459246821005	2.21273462731737	2.14746512713807	2.06134496866658	2.23833027458254	2.24115986263351	2.271502420797	2.1370096760937
C5AR1	1.96922060910672	1.93204387701354	1.81405337940052	1.94229195133343	1.87255613060268	1.80942754767354	1.80476161681243	1.82475285004548	1.88218790702183	2.09822745970212	2.08120204420061	2.02674162637693	2.23447282053213	2.24237036963249	2.06241627631788	2.19341744483398	2.16628580740153	2.14823595010462	2.11508602825983	2.1379424973329	2.21066940773237	2.28387728891139
C5AR2	1.61437747345376	1.74958395929146	1.73321224947973	1.5304642831073	1.90320972240262	1.5791825266671	1.74638186157907	1.61823826499115	1.89393835623591	1.78779425400128	1.85976423153421	1.83224843340007	1.91722739960418	1.87991622070334	1.74986300276271	1.92155278511662	1.80966164036214	1.76932996562227	1.41934365285715	1.8778724349228	2.06906025126708	2.09116751491413
CA8	1.76199496979212	1.7667638447585	1.75153188341535	1.71145542463489	1.77497723796438	1.74714600446492	1.73565735898788	2.04040878601298	1.88570426871943	1.92758405054162	1.72212450323709	1.72586994063135	1.7203071627593	1.70049446295956	1.8439841304878	1.71056564412843	1.68517446690899	1.84713626657628	1.94366450762348	2.01192183657247	1.73763045150748	1.8152723306194
CAMP	1.84727232820345	1.83596652506148	1.90723808445174	1.94929456166815	2.0143379499773	1.97879665670916	1.84884614278571	1.99573237985826	1.85070835385042	1.8757619802909	2.18512503533532	2.00240513707992	1.99939560144469	2.03462440873306	1.95660681385025	1.98228956110954	1.97182353227881	1.87986485077631	2.04926679849627	2.02884359814034	2.11412713298039	2.17980300679545
CASP5	1.74519657680963	1.81425954277083	1.59957979490958	1.78404051359829	1.68693131726723	1.63932381802813	1.59821019537684	1.88884217601679	1.99297679619892	1.7175164101348	1.85868370150024	1.91784197751116	1.99482467001752	1.90332019424487	2.11262740474367	1.84509673530576	1.78915398551979	1.90811820229182	1.64055308802936	1.94088460853334	1.92182681477778	2.10781957553558
CCDC102B	1.6005810752995	1.55655991225776	1.55726320037346	1.75951715595778	1.64319433607169	1.71136539701989	1.20284410779992	1.55537412764833	1.5434076616542	1.75364217344521	1.78831481940594	1.39409205349175	1.53732143741305	2.04307483947213	1.15633945283861	1.32251608336106	2.01319143956009	1.62780988960614	1.86508048618715	1.56862264192412	1.84090765125088	1.56561985681173
CCL1	1.64103539659326	1.66638051278119	1.6595942635427	1.67295099048542	1.79701954113356	1.65193470503471	1.74253704373661	1.70184547951219	1.64001128144047	1.6808751370547	1.68550074796876	1.83569067950038	1.67876767398752	1.69741100714231	1.71245182239903	1.66245280119489	1.66794134833122	2.08780403992811	1.59287764350465	2.16968639334273	1.65623611900209	1.64652763929886
CCL13	2.038167194308	2.02698070915004	1.97842897681641	1.99542794937652	1.88025656716202	1.99341961646061	1.93399299175734	1.7031270895227	1.94841123907389	1.94384329480324	1.97203112842801	1.97374233763566	1.96323129125109	2.02466319419302	2.03227859258797	2.25533781787875	2.22801072370827	2.24710408404013	1.97810562498208	2.13056550807142	1.9962251398957	1.9821749074305
CCL14	1.94034063717833	1.92129541427619	2.01729047977158	1.94193929597647	1.84287398710917	1.96854001866068	1.95130023268408	1.8506888366727	2.0164086733428	2.01696253162975	1.93644380304921	1.94480969662903	1.98194712400967	2.0241839315632	2.16810593304139	2.20677336491479	2.06823786524981	2.0276078494462	1.97540669734283	2.01479401426768	1.99390055897303	2.05789927394822
CCL17	1.88190090857048	1.92144230053335	1.95722647319904	1.95250340064978	1.77452890239929	1.83888028330972	2.02642505510348	1.8688019128932	2.09317224734109	1.92291405272388	1.94770844951571	1.87124408738416	1.93679119643181	1.99051858751603	1.91430870243223	2.12486419266335	2.20851446881869	2.25415807756781	1.82087003678474	1.89226620289869	1.96871441565706	1.85538317034696
CCL18	1.77811517468208	1.79095797352497	1.91675581979605	1.85925920115211	1.80810376291387	1.70478874213859	1.95602799682768	1.84315823934872	1.78290137772084	1.98594550765452	1.8724354329968	1.95383892219004	1.87729553345908	2.21395807022958	2.16902730821884	2.2830205484773	2.1865590879867	2.18824472876231	2.0983478570131	2.15103512987429	1.89705292482215	1.90122902506841
CCL19	1.95252651322134	2.00880421884642	2.06098377663794	1.95131905566509	1.86482917491847	1.92506589601085	1.96632449239998	1.89992221740098	1.85805704382363	1.78736055363304	1.98632210421655	2.01305458115413	1.99110613681564	1.99012280924748	2.32168308297125	2.00704382566099	2.02668448889548	2.2179853345182	1.8688518904185	1.77184989607292	2.0168533954386	1.99250328549381
CCL20	1.87362412428743	1.82284625336769	1.71664012530491	1.92618248142969	1.7083065869476	1.83474124682453	2.18184189658368	2.03522119644442	1.69828300646133	1.76318063315741	1.76583231789653	1.78102316075782	1.76935879784011	1.68188064779043	2.13512039905159	1.7044990992931	1.72648965458652	2.17989431109976	1.71976432794962	2.24675800120691	1.84251910272587	1.7960979743211
CCL22	1.89257997567489	1.84336660860135	1.77740484998858	1.80620089979342	1.87337121099017	1.82737658539189	1.82882759866013	1.80799521185236	2.11799227262559	1.79987200538855	1.82245032859323	1.95042453046498	1.85080681172426	2.20980478728336	2.1050704967188	2.14754466390151	2.23313136492602	2.3197801198805	1.8091255966191	1.98974977057671	1.9715050289911	1.9232055292868
CCL23	1.7765897901202	1.7488457397779	1.91007163799948	1.73556840351531	1.77623300843573	1.82626128963026	1.54920629695074	1.71308732725463	1.94132536406107	1.79967070112115	1.93158822103642	1.88666298136321	1.86864227988162	2.05664850005738	2.12436177738447	2.2470308555682	2.0781176233798	2.09006059273717	2.12926781038559	2.11613158077886	2.11474076221502	1.92085457715735
CCL4	2.18533584100547	2.14287354292668	2.07473027110648	2.20898696853692	2.06480352429762	2.1015520448121	2.27888307840992	2.08581351794602	2.10749611254446	2.26588692475031	2.27892663379949	2.32834604049092	2.21717042462394	2.19477142159908	2.2814479906437	2.21947704595991	2.19757578077987	2.2349930701668	2.16307763139544	2.32475267285666	2.25525032588795	2.21130478580636
CCL5	1.77520621202745	1.96456991658743	1.83897297287471	2.2798034977274	2.03558889137712	2.21955775178088	2.19134594024066	1.93994103365783	2.02676273019103	2.30096967547766	2.29687939821229	2.28094211545582	1.97985391367734	1.97732955458003	2.29598303497231	2.05867961409477	1.9220097924556	2.25481625149509	1.89289454711817	2.1290072921716	2.07286862382113	2.00452562215259
CCL7	1.95518835157293	1.89225752371801	1.91972855481234	1.91197058045083	1.89810669778109	1.87037027945866	1.79946093773718	1.90993341017485	1.91442406211544	1.94698864004889	1.85248558286771	1.7884303301753	1.86248352308133	2.1281264397846	2.0555158617431	1.96164532803373	1.80745849154039	1.94474749143283	2.00748926501566	2.15272130946858	1.9846792157126	1.97442892588387
CCL8	2.05147233087096	1.97411481674265	1.98256408189598	1.85828358359771	1.84379920752312	1.93091760251773	1.95828059587322	1.87718105706978	1.95169344489775	1.98268533404932	1.90144337482441	1.90007113256587	1.99982917358425	2.01657155520681	2.23777853432618	2.21412482162023	1.96127719126293	2.18041200921331	1.92244077955878	2.17269216960483	1.807155512146	1.97159841194134
CCND2	2.07251011261531	2.10237426103403	2.13074481340352	2.1311794318336	2.08730308710516	2.16459609681784	2.20479234596124	2.1044075451537	2.16230066119476	2.08021087518255	2.15933587167362	2.25118998764924	2.03878022148638	2.09030774404019	1.95631931214875	1.98478730495929	2.09920186288606	2.07487626654752	2.08163345851401	2.10532997592806	2.10266444894762	2.07627081593977
CCR10	1.90914614745351	1.96913691087242	2.1393651253716	2.00269591527442	1.93105254891038	2.0682132366316	1.93653345001839	1.97781844003256	1.91227664667263	1.90413425478597	1.9568128286808	1.90248824340589	1.93861373402291	1.92901402344956	1.91869969972197	1.94587940593527	1.91301854025482	1.94942366383367	1.90437957003148	1.94498425216308	2.00855204647466	1.97463379828311
CCR2	2.09782322482675	2.08654976838282	2.18696691794608	2.07591765946427	1.93215077231096	2.13791274258938	2.07201875002682	1.97250933964166	2.06122873244439	2.1640049598097	1.96892269534063	1.97409019768647	2.2155622894915	1.99683456673155	1.95572320778926	1.94701245760433	1.99127097344876	1.99240308857225	1.99065910049454	1.93023555228961	2.04578186964278	2.05623589656171
CCR3	2.00566199962728	1.84258999419978	1.9080246676067	1.90517344981616	1.69396371928338	1.9649637320136	1.91131523891394	1.78227789142408	2.06186073574564	1.8669846927572	2.00087519512551	1.95586936421909	1.9587936477306	1.95349493174426	1.92313513439236	1.87228798778243	1.95915304668278	1.93408564322153	1.85105277346491	1.94398530457768	2.255296392474	2.1769810145501
CCR5	1.97587076356897	1.96988949432457	1.89452011363593	2.15497575642051	1.94826060649375	2.10464064139876	2.09839658487505	2.11426089222657	2.11058157078817	2.20645064718073	2.12017624090891	2.17659957394007	2.10875174079318	2.20062185321893	2.17926700023778	2.14047279584898	2.18011467185437	2.12533155025668	2.01482528178132	2.06173473371791	2.00223166654419	1.96178178448102
CCR6	2.07945290699407	2.08027601572078	1.87718105706978	2.02781684101927	1.93882233982701	2.10822963207696	2.0185098352212	2.01584802326292	1.97903335319462	2.06243270484785	1.89353710096562	1.99696520446105	1.83562062378984	1.76179461591221	1.81525926390279	1.83713775607463	1.83763860495845	1.88182347690741	1.82606663296097	1.84496492805861	1.85800722818272	1.89142666425424
